WSP ;Wahlberechtigte_männlich;Wahlberechtigte_weiblich;Wahlberechtigte_insgesamt;gültig;ungültig;SPÖ;ÖVP;GRÜNE;FPÖ;BZÖ;KLEM;LIF;RETTÖ;KPÖ;DC;STARK;FRITZ
1214;221;268;489;370;8;103;44;39;28;139;0;4;3;5;2;0;3
1215;164;156;320;198;7;56;37;31;20;49;0;3;0;1;0;0;1
1216;170;231;401;285;3;63;36;45;20;107;0;7;1;1;2;1;2
1217;210;293;503;336;0;117;35;32;20;110;2;9;4;3;1;0;3
1218;195;219;414;307;7;81;55;39;18;89;2;8;3;6;0;1;5
1219;188;258;446;327;10;81;34;36;25;137;0;3;3;0;5;1;2
1221;213;264;477;277;8;54;13;22;26;159;1;0;2;0;0;0;0
1222;197;230;427;311;5;66;59;50;22;91;0;10;3;7;1;0;2
1223;271;342;613;415;10;79;84;97;24;98;0;14;3;7;5;0;4
1224;266;309;575;419;10;74;79;103;33;107;0;10;2;3;3;0;5
1225;240;320;560;404;8;71;66;89;18;146;0;6;2;2;2;2;0
1231;193;254;447;287;4;84;30;32;24;100;0;8;0;1;2;1;5
1232;258;291;549;332;4;72;19;37;31;157;0;5;5;2;1;1;2
1233;380;454;834;627;17;88;118;139;47;189;0;23;2;6;2;2;11
1234;189;259;448;319;5;74;48;45;20;111;0;7;3;5;1;1;4
1235;293;375;668;493;10;114;100;81;41;131;1;7;6;2;4;1;5
1241;201;220;421;288;10;79;24;41;29;104;1;4;2;3;0;1;0
1242;177;203;380;250;7;69;18;21;21;110;0;3;2;3;0;1;2
1243;196;276;472;284;9;79;20;26;14;132;0;2;4;2;2;1;2
1244;184;282;466;277;6;74;19;18;27;125;0;3;1;4;3;0;3
1251;271;345;616;383;8;48;106;66;25;113;1;11;4;1;3;0;5
1252;244;317;561;364;11;63;48;60;28;140;1;6;1;4;1;0;12
1253;286;369;655;438;10;93;62;67;36;148;0;9;5;5;4;0;9
1254;253;337;590;369;16;48;117;62;18;104;2;8;3;1;1;0;5
1261;196;257;453;306;9;62;58;39;27;93;0;10;2;3;4;0;8
1262;195;226;421;282;6;66;70;42;29;62;0;5;1;0;3;0;4
1311;231;233;464;311;11;84;44;19;26;123;1;4;3;1;2;0;4
1312;323;343;666;462;10;84;103;54;29;167;0;6;3;6;3;0;7
1313;336;430;766;541;14;127;54;69;40;227;1;8;2;3;2;0;8
1314;238;270;508;377;5;101;34;51;31;132;3;10;0;2;3;1;9
1315;266;357;623;430;11;86;43;60;41;172;0;15;5;3;0;0;5
1321;282;333;615;450;10;102;80;90;22;139;0;5;4;2;0;0;6
1322;232;262;494;344;8;91;53;51;18;113;0;4;4;1;5;0;4
1323;376;362;738;512;19;86;95;104;24;179;0;9;4;6;2;0;3
1324;206;227;433;301;11;113;36;31;13;101;1;2;2;0;0;0;2
1325;211;242;453;279;3;75;41;49;24;77;0;3;2;1;0;0;7
1331;196;203;399;270;7;88;32;34;11;91;0;3;3;2;3;0;3
1411;359;360;719;523;13;134;87;57;29;192;3;6;7;2;2;0;4
1412;181;205;386;277;6;86;37;27;27;89;2;1;3;1;1;0;3
1421;206;208;414;291;11;63;45;30;24;122;0;4;1;0;1;0;1
1422;299;310;609;432;4;91;76;41;31;176;0;2;3;5;3;0;4
1423;315;300;615;451;15;116;60;29;46;179;0;4;4;4;3;1;5
1424;221;243;464;335;9;94;48;39;23;116;0;7;3;3;1;0;1
1431;331;334;665;487;12;107;93;44;21;197;0;7;2;3;6;0;7
1511;305;361;666;447;13;110;72;34;41;167;0;3;2;2;3;0;13
1512;321;365;686;452;15;122;50;35;37;188;0;7;5;1;1;0;6
1513;265;271;536;392;7;94;57;33;33;156;1;2;4;2;2;0;8
2001;429;437;866;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;38;2;13;4;4;3;14;0;0;0;0;0;0;0
3;0;0;0;21;0;9;3;1;3;4;0;0;0;0;1;0;0
4;0;0;0;188;9;78;39;8;12;48;0;1;0;0;1;0;1
5;0;0;0;42;0;9;5;11;2;10;0;2;0;1;0;0;2
6;0;0;0;23;1;2;6;5;2;6;0;1;0;1;0;0;0
7;0;0;0;54;1;19;8;2;0;21;0;2;0;2;0;0;0
8;0;0;0;70;1;22;21;4;5;15;0;0;0;1;1;0;1
Klgft.;32997;40013;73010;48922;1115;11786;6844;5777;3721;18263;66;828;380;375;258;75;549
