;;Nationalratswahl vom 01.10.2006 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ÖVP;;;SPÖ;;;FPÖ;;;GRÜNE;;;KPÖ;;;BZÖ;;;MATIN;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenn-Nr.;Bezeichnung;Wahl-berecht.;Wahl-bet. in%;ungült. Stim.;Gültige Stimmen;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;;;;;;;;;;;;;;;;;;;;;;;;
30509;Ernsthofen                              ;1.625;86,58;34;1.373;515;37,51;-8,66;568;41,37;-0,01;136;9,91;4,61;103;7,50;1,24;8;0,58;0,29;18;1,31;1,31;25;1,82;1,82;;;;;;;;;;;;;;;;;;;;;;;;
30510;Ertl                                    ;939;87,01;12;805;567;70,43;-9,39;119;14,78;2,77;48;5,96;0,81;20;2,48;0,11;10;1,24;0,98;27;3,35;3,35;14;1,74;1,74;;;;;;;;;;;;;;;;;;;;;;;;
30511;Euratsfeld                              ;1.811;89,40;30;1.589;1.049;66,02;-9,93;228;14,35;1,18;110;6,92;2,40;120;7,55;1,78;10;0,63;0,56;26;1,64;1,64;46;2,89;2,89;;;;;;;;;;;;;;;;;;;;;;;;
30512;Ferschnitz                              ;1.232;92,94;24;1.121;676;60,30;-12,10;228;20,34;2,36;92;8,21;4,18;62;5,53;0,62;8;0,71;0,42;24;2,14;2,14;31;2,77;2,77;;;;;;;;;;;;;;;;;;;;;;;;
30514;Haag                                    ;4.106;82,10;76;3.295;1.533;46,53;-6,72;1.009;30,62;-1,54;264;8,01;2,10;329;9,98;2,72;22;0,67;0,25;60;1,82;1,82;78;2,37;2,37;;;;;;;;;;;;;;;;;;;;;;;;
30515;Haidershofen                            ;2.641;85,38;48;2.207;982;44,49;-8,86;754;34,16;0,80;175;7,93;1,33;182;8,25;2,38;9;0,41;0,14;54;2,45;2,45;51;2,31;2,31;;;;;;;;;;;;;;;;;;;;;;;;
30516;Hollenstein an der Ybbs                 ;1.428;84,59;27;1.181;513;43,44;-3,00;512;43,35;-0,19;56;4,74;-1,05;51;4,32;0,59;5;0,42;0,17;25;2,12;2,12;19;1,61;1,61;;;;;;;;;;;;;;;;;;;;;;;;
30517;Kematen an der Ybbs                     ;1.908;86,37;49;1.599;452;28,27;-9,12;808;50,53;1,69;144;9,01;2,22;88;5,50;-0,13;13;0,81;0,26;49;3,06;3,06;45;2,81;2,81;;;;;;;;;;;;;;;;;;;;;;;;
30520;Neuhofen an der Ybbs                    ;1.989;86,48;55;1.665;989;59,40;-12,51;295;17,72;3,09;171;10,27;1,73;113;6,79;2,61;11;0,66;0,29;40;2,40;2,40;46;2,76;2,76;;;;;;;;;;;;;;;;;;;;;;;;
30521;Neustadtl an der Donau                  ;1.625;89,97;29;1.433;825;57,57;-11,38;368;25,68;2,29;100;6,98;3,08;78;5,44;1,83;5;0,35;0,35;26;1,81;1,81;31;2,16;2,16;;;;;;;;;;;;;;;;;;;;;;;;
30522;Oed - Oehling                           ;1.203;85,87;22;1.011;527;52,13;-9,38;257;25,42;0,21;79;7,81;1,12;86;8,51;2,76;10;0,99;0,68;29;2,87;2,87;23;2,27;2,27;;;;;;;;;;;;;;;;;;;;;;;;
30524;Opponitz                                ;721;85,99;13;607;300;49,42;-4,09;214;35,26;-2,34;36;5,93;1,41;34;5,60;2,01;3;0,49;0,02;7;1,15;1,15;13;2,14;2,14;;;;;;;;;;;;;;;;;;;;;;;;
30526;St. Georgen am Reith                    ;448;88,62;5;392;193;49,23;-6,50;140;35,71;2,12;28;7,14;1,93;15;3,83;-0,60;2;0,51;0,25;7;1,79;1,79;7;1,79;1,79;;;;;;;;;;;;;;;;;;;;;;;;
