;;Nationalratswahl vom 01.10.2006 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ÖVP;;;SPÖ;;;FPÖ;;;GRÜNE;;;KPÖ;;;BZÖ;;;MATIN;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenn-Nr.;Bezeichnung;Wahl-berecht.;Wahl-bet. in%;ungült. Stim.;Gültige Stimmen;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;;;;;;;;;;;;;;;;;;;;;;;;
30716;Mannersdorf am Leithagebirge            ;2.845;83,55;44;2.333;450;19,29;-5,75;1.430;61,29;-2,27;205;8,79;3,36;142;6,09;1,07;23;0,99;0,66;30;1,29;1,29;53;2,27;2,27;;;;;;;;;;;;;;;;;;;;;;;;
30718;Petronell - Carnuntum                   ;940;84,26;27;765;239;31,24;-8,45;359;46,93;3,91;75;9,80;1,35;60;7,84;0,03;3;0,39;-0,25;16;2,09;2,09;13;1,70;1,70;;;;;;;;;;;;;;;;;;;;;;;;
30719;Prellenkirchen                          ;1.027;86,95;14;879;479;54,49;-4,99;261;29,69;1,63;67;7,62;-1,25;31;3,53;0,84;10;1,14;0,47;7;0,80;0,80;24;2,73;2,73;;;;;;;;;;;;;;;;;;;;;;;;
30721;Rohrau                                  ;1.126;84,01;20;926;417;45,03;-4,34;350;37,80;-1,79;77;8,32;2,11;53;5,72;1,12;5;0,54;0,42;9;0,97;0,97;15;1,62;1,62;;;;;;;;;;;;;;;;;;;;;;;;
30722;Scharndorf                              ;856;87,03;11;734;389;53,00;-2,80;241;32,83;3,00;37;5,04;-1,87;41;5,59;-0,90;5;0,68;-0,15;10;1,36;1,36;11;1,50;1,50;;;;;;;;;;;;;;;;;;;;;;;;
30724;Sommerein                               ;1.472;83,08;15;1.208;361;29,88;-6,15;611;50,58;0,37;117;9,69;1,84;60;4,97;0,41;5;0,41;-0,18;24;1,99;1,99;30;2,48;2,48;;;;;;;;;;;;;;;;;;;;;;;;
30726;Trautmannsdorf an der Leitha            ;2.163;82,85;43;1.749;700;40,02;-9,02;662;37,85;0,16;179;10,23;4,17;123;7,03;0,69;9;0,51;0,18;27;1,54;1,54;49;2,80;2,80;;;;;;;;;;;;;;;;;;;;;;;;
30728;Wolfsthal                               ;570;83,33;5;470;213;45,32;-2,88;180;38,30;-3,35;44;9,36;2,38;14;2,98;0,23;2;0,43;0,01;10;2,13;2,13;7;1,49;1,49;;;;;;;;;;;;;;;;;;;;;;;;
308;Bezirk Gänserndorf                      ;69.828;81,37;1.001;55.818;18.976;34,00;-8,79;23.266;41,68;-1,08;6.126;10,97;3,58;3.813;6,83;1,12;434;0,78;0,25;1.354;2,43;2,43;1.849;3,31;3,31;;;;;;;;;;;;;;;;;;;;;;;;
30801;Aderklaa                                ;128;92,19;5;113;85;75,22;-5,27;7;6,19;1,31;9;7,96;0,64;9;7,96;0,64;1;0,88;0,88;1;0,88;0,88;1;0,88;0,88;;;;;;;;;;;;;;;;;;;;;;;;
30802;Andlersdorf                             ;97;83,51;1;80;43;53,75;-8,59;24;30,00;0,13;6;7,50;3,60;5;6,25;2,35;0;0,00;0,00;0;0,00;0,00;2;2,50;2,50;;;;;;;;;;;;;;;;;;;;;;;;
30803;Angern an der March                     ;2.435;84,85;32;2.034;568;27,93;-7,83;1.080;53,10;0,85;156;7,67;1,08;101;4,97;0,61;15;0,74;0,44;54;2,65;2,65;60;2,95;2,95;;;;;;;;;;;;;;;;;;;;;;;;
30804;Auersthal                               ;1.383;88,79;20;1.208;488;40,40;-6,23;470;38,91;-1,91;95;7,86;2,30;92;7,62;1,98;6;0,50;0,16;25;2,07;2,07;32;2,65;2,65;;;;;;;;;;;;;;;;;;;;;;;;
30805;Bad Pirawarth                           ;1.216;87,42;25;1.038;478;46,05;-9,66;362;34,87;0,63;98;9,44;3,64;52;5,01;1,63;5;0,48;0,09;19;1,83;1,83;24;2,31;2,31;;;;;;;;;;;;;;;;;;;;;;;;
30808;Deutsch-Wagram                          ;5.435;77,87;70;4.162;1.242;29,84;-8,04;1.588;38,15;-3,91;567;13,62;5,41;489;11,75;1,68;50;1,20;0,57;87;2,09;2,09;139;3,34;3,34;;;;;;;;;;;;;;;;;;;;;;;;
30810;Drösing                                 ;916;83,41;12;752;269;35,77;-8,82;389;51,73;5,40;40;5,32;-0,02;24;3,19;0,25;6;0,80;0,13;13;1,73;1,73;11;1,46;1,46;;;;;;;;;;;;;;;;;;;;;;;;
30811;Dürnkrut                                ;1.791;80,90;31;1.418;353;24,89;-8,81;774;54,58;0,50;147;10,37;3,30;43;3,03;-0,33;13;0,92;0,10;35;2,47;2,47;53;3,74;3,74;;;;;;;;;;;;;;;;;;;;;;;;
30812;Ebenthal                                ;641;82,06;10;516;205;39,73;-10,17;202;39,15;0,83;63;12,21;7,42;27;5,23;-0,56;1;0,19;-0,81;7;1,36;1,36;11;2,13;2,13;;;;;;;;;;;;;;;;;;;;;;;;
30813;Eckartsau                               ;884;83,71;3;737;391;53,05;-9,01;206;27,95;1,03;70;9,50;2,81;27;3,66;-0,11;7;0,95;0,67;12;1,63;1,63;24;3,26;3,26;;;;;;;;;;;;;;;;;;;;;;;;
30814;Engelhartstetten                        ;1.480;83,72;19;1.220;458;37,54;-5,61;482;39,51;-2,51;128;10,49;0,97;60;4,92;1,21;9;0,74;0,09;37;3,03;3,03;46;3,77;3,77;;;;;;;;;;;;;;;;;;;;;;;;
30817;Gänserndorf                             ;6.792;75,81;77;5.072;1.261;24,86;-10,75;2.161;42,61;-2,85;734;14,47;6,62;575;11,34;1,60;35;0,69;0,05;139;2,74;2,74;167;3,29;3,29;;;;;;;;;;;;;;;;;;;;;;;;
30819;Glinzendorf                             ;183;88,52;1;161;90;55,90;-1,52;32;19,88;-0,12;21;13,04;-2,44;6;3,73;-2,08;1;0,62;0,62;9;5,59;5,59;2;1,24;1,24;;;;;;;;;;;;;;;;;;;;;;;;
30821;Groß-Enzersdorf                         ;6.552;78,53;71;5.074;1.475;29,07;-11,76;2.124;41,86;-1,56;660;13,01;5,58;488;9,62;2,71;41;0,81;0,48;95;1,87;1,87;191;3,76;3,76;;;;;;;;;;;;;;;;;;;;;;;;
30822;Großhofen                               ;60;88,33;0;53;33;62,26;3,77;11;20,75;-7,55;4;7,55;3,78;4;7,55;-1,88;1;1,89;1,89;0;0,00;0,00;0;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
30824;Groß-Schweinbarth                       ;932;87,23;21;792;351;44,32;-6,54;294;37,12;-1,61;71;8,96;4,06;42;5,30;0,52;2;0,25;-0,12;13;1,64;1,64;19;2,40;2,40;;;;;;;;;;;;;;;;;;;;;;;;
30825;Haringsee                               ;903;85,27;11;759;378;49,80;-6,10;250;32,94;1,33;64;8,43;2,19;37;4,87;-0,42;5;0,66;0,39;10;1,32;1,32;15;1,98;1,98;;;;;;;;;;;;;;;;;;;;;;;;
30826;Hauskirchen                             ;998;82,26;15;806;379;47,02;-6,71;277;34,37;-1,00;60;7,44;0,34;30;3,72;1,39;6;0,74;0,01;29;3,60;3,60;25;3,10;3,10;;;;;;;;;;;;;;;;;;;;;;;;
30827;Hohenau an der March                    ;2.198;81,48;34;1.757;347;19,75;-5,08;1.118;63,63;-1,31;132;7,51;2,21;56;3,19;-0,50;13;0,74;0,43;41;2,33;2,33;50;2,85;2,85;;;;;;;;;;;;;;;;;;;;;;;;
30828;Hohenruppersdorf                        ;728;85,85;17;608;341;56,09;-13,12;133;21,88;1,25;63;10,36;6,39;33;5,43;-0,13;0;0,00;-0,32;13;2,14;2,14;25;4,11;4,11;;;;;;;;;;;;;;;;;;;;;;;;
30829;Jedenspeigen                            ;905;86,41;14;768;334;43,49;-5,31;311;40,49;-2,73;53;6,90;3,86;34;4,43;0,75;1;0,13;-0,25;8;1,04;1,04;27;3,52;3,52;;;;;;;;;;;;;;;;;;;;;;;;
30830;Lassee                                  ;1.760;78,64;31;1.353;529;39,10;-9,54;534;39,47;2,23;143;10,57;0,37;62;4,58;1,48;8;0,59;0,29;39;2,88;2,88;38;2,81;2,81;;;;;;;;;;;;;;;;;;;;;;;;
30831;Leopoldsdorf im Marchfelde              ;1.777;84,07;14;1.480;356;24,05;-7,61;835;56,42;-0,16;124;8,38;2,17;88;5,95;1,21;7;0,47;0,40;22;1,49;1,49;48;3,24;3,24;;;;;;;;;;;;;;;;;;;;;;;;
30834;Mannsdorf an der Donau                  ;278;83,09;3;228;105;46,05;-3,54;64;28,07;-2,51;24;10,53;-1,04;12;5,26;1,54;4;1,75;1,34;8;3,51;3,51;11;4,82;4,82;;;;;;;;;;;;;;;;;;;;;;;;
30835;Marchegg                                ;2.093;79,26;19;1.640;388;23,66;-8,48;872;53,17;-0,69;173;10,55;2,08;84;5,12;0,97;14;0,85;0,33;39;2,38;2,38;70;4,27;4,27;;;;;;;;;;;;;;;;;;;;;;;;
30836;Markgrafneusiedl                        ;628;82,48;6;512;164;32,03;-12,18;243;47,46;2,82;48;9,38;3,37;24;4,69;0,18;6;1,17;0,74;13;2,54;2,54;14;2,73;2,73;;;;;;;;;;;;;;;;;;;;;;;;
30838;Matzen - Raggendorf                     ;1.942;83,21;28;1.588;607;38,22;-9,19;585;36,84;-2,06;179;11,27;4,39;125;7,87;2,38;9;0,57;0,09;40;2,52;2,52;43;2,71;2,71;;;;;;;;;;;;;;;;;;;;;;;;
30841;Neusiedl an der Zaya                    ;992;82,76;25;796;371;46,61;-6,39;269;33,79;-2,79;75;9,42;3,19;29;3,64;0,47;8;1,01;0,44;12;1,51;1,51;32;4,02;4,02;;;;;;;;;;;;;;;;;;;;;;;;
30842;Obersiebenbrunn                         ;1.201;79,10;22;928;253;27,26;-8,96;440;47,41;1,05;123;13,25;3,54;44;4,74;-2,23;4;0,43;0,32;29;3,13;3,13;35;3,77;3,77;;;;;;;;;;;;;;;;;;;;;;;;
30844;Orth an der Donau                       ;1.542;79,96;30;1.203;472;39,24;-5,21;429;35,66;-3,81;163;13,55;4,39;79;6,57;0,78;5;0,42;0,18;23;1,91;1,91;32;2,66;2,66;;;;;;;;;;;;;;;;;;;;;;;;
30845;Palterndorf - Dobermannsdorf            ;1.000;81,00;25;785;382;48,66;-8,28;243;30,96;-0,50;74;9,43;1,77;27;3,44;1,05;7;0,89;0,05;29;3,69;3,69;23;2,93;2,93;;;;;;;;;;;;;;;;;;;;;;;;
30846;Parbasdorf                              ;104;90,38;1;93;60;64,52;-14,13;5;5,38;-3,61;11;11,83;3,96;8;8,60;4,11;0;0,00;0,00;8;8,60;8,60;1;1,08;1,08;;;;;;;;;;;;;;;;;;;;;;;;
30848;Prottes                                 ;1.016;82,87;16;826;294;35,59;-6,87;340;41,16;-1,90;95;11,50;2,57;34;4,12;-0,34;4;0,48;-0,12;29;3,51;3,51;30;3,63;3,63;;;;;;;;;;;;;;;;;;;;;;;;
30849;Raasdorf                                ;384;84,64;4;321;160;49,84;-7,11;119;37,07;4,62;14;4,36;-1,60;18;5,61;1,31;1;0,31;0,31;7;2,18;2,18;2;0,62;0,62;;;;;;;;;;;;;;;;;;;;;;;;
30850;Ringelsdorf - Niederabsdorf             ;1.122;83,87;19;922;273;29,61;-6,39;521;56,51;0,71;59;6,40;2,14;21;2,28;-0,28;11;1,19;0,13;11;1,19;1,19;26;2,82;2,82;;;;;;;;;;;;;;;;;;;;;;;;
30852;Schönkirchen - Reyersdorf               ;1.448;87,15;24;1.238;436;35,22;-7,13;509;41,11;-2,07;109;8,80;1,93;96;7,75;1,71;7;0,57;-0,01;27;2,18;2,18;54;4,36;4,36;;;;;;;;;;;;;;;;;;;;;;;;
30854;Spannberg                               ;727;85,28;15;605;309;51,07;-9,74;160;26,45;0,97;68;11,24;2,05;24;3,97;0,91;7;1,16;0,68;15;2,48;2,48;22;3,64;3,64;;;;;;;;;;;;;;;;;;;;;;;;
30856;Strasshof an der Nordbahn               ;5.939;76,83;67;4.496;801;17,82;-11,60;2.254;50,13;-1,76;660;14,68;5,95;388;8,63;0,97;66;1,47;0,40;117;2,60;2,60;210;4,67;4,67;;;;;;;;;;;;;;;;;;;;;;;;
30857;Sulz im Weinviertel                     ;943;86,85;21;798;420;52,63;-5,95;221;27,69;-1,23;70;8,77;1,66;38;4,76;0,72;2;0,25;-0,36;14;1,75;1,75;33;4,14;4,14;;;;;;;;;;;;;;;;;;;;;;;;
30858;Untersiebenbrunn                        ;1.115;83,86;14;921;200;21,72;-8,02;487;52,88;-3,12;115;12,49;3,06;54;5,86;2,61;3;0,33;-0,34;32;3,47;3,47;30;3,26;3,26;;;;;;;;;;;;;;;;;;;;;;;;
30859;Velm - Götzendorf                       ;634;87,85;12;545;266;48,81;-6,99;188;34,50;-1,55;41;7,52;2,99;22;4,04;1,68;3;0,55;-0,17;7;1,28;1,28;18;3,30;3,30;;;;;;;;;;;;;;;;;;;;;;;;
30860;Weikendorf                              ;1.489;83,81;20;1.228;439;35,75;-8,77;449;36,56;-0,16;120;9,77;-0,55;88;7,17;0,24;11;0,90;0,35;80;6,51;6,51;41;3,34;3,34;;;;;;;;;;;;;;;;;;;;;;;;
30863;Zistersdorf                             ;4.347;84,91;87;3.604;1.789;49,64;-9,09;1.060;29,41;0,31;357;9,91;3,18;186;5,16;0,80;26;0,72;0,26;89;2,47;2,47;97;2,69;2,69;;;;;;;;;;;;;;;;;;;;;;;;
30865;Weiden an der March                     ;690;85,36;9;580;333;57,41;-8,85;144;24,83;2,57;40;6,90;-0,23;28;4,83;1,53;3;0,52;0,00;17;2,93;2,93;15;2,59;2,59;;;;;;;;;;;;;;;;;;;;;;;;
309;Bezirk Gmünd                            ;31.348;83,57;773;25.423;10.189;40,08;-6,57;10.850;42,68;0,36;1.761;6,93;0,74;1.240;4,88;1,00;147;0,58;0,15;567;2,23;2,23;669;2,63;2,63;;;;;;;;;;;;;;;;;;;;;;;;
30902;Amaliendorf - Aalfang                   ;942;86,41;30;784;153;19,52;-6,10;485;61,86;-0,89;67;8,55;0,75;30;3,83;1,60;5;0,64;-0,23;17;2,17;2,17;27;3,44;3,44;;;;;;;;;;;;;;;;;;;;;;;;
30903;Brand - Nagelberg                       ;1.420;85,56;30;1.185;248;20,93;-4,94;809;68,27;0,89;44;3,71;-0,26;34;2,87;0,57;2;0,17;0,09;21;1,77;1,77;27;2,28;2,28;;;;;;;;;;;;;;;;;;;;;;;;
30904;Eggern                                  ;616;82,31;15;492;249;50,61;-4,16;160;32,52;-0,69;25;5,08;-3,32;27;5,49;2,63;3;0,61;0,42;17;3,46;3,46;11;2,24;2,24;;;;;;;;;;;;;;;;;;;;;;;;
30906;Eisgarn                                 ;549;87,25;16;463;235;50,76;-4,32;182;39,31;0,96;11;2,38;-0,80;14;3,02;0,48;2;0,43;0,22;12;2,59;2,59;7;1,51;1,51;;;;;;;;;;;;;;;;;;;;;;;;
30908;Gmünd                                   ;4.487;80,90;91;3.539;1.108;31,31;-7,03;1.762;49,79;-0,35;280;7,91;2,02;217;6,13;1,38;21;0,59;0,25;61;1,72;1,72;90;2,54;2,54;;;;;;;;;;;;;;;;;;;;;;;;
30909;Großdietmanns                           ;1.729;86,70;44;1.455;687;47,22;-6,86;523;35,95;0,67;93;6,39;0,54;59;4,05;0,32;6;0,41;0,13;38;2,61;2,61;49;3,37;3,37;;;;;;;;;;;;;;;;;;;;;;;;
30910;Bad Großpertholz                        ;1.195;82,68;24;964;441;45,75;-7,23;365;37,86;-1,19;70;7,26;2,92;38;3,94;0,91;7;0,73;0,53;25;2,59;2,59;18;1,87;1,87;;;;;;;;;;;;;;;;;;;;;;;;
30912;Großschönau                             ;963;84,84;32;785;496;63,18;-9,42;145;18,47;1,93;58;7,39;1,33;50;6,37;2,71;4;0,51;-0,37;17;2,17;2,17;15;1,91;1,91;;;;;;;;;;;;;;;;;;;;;;;;
30913;Moorbad Harbach                         ;551;101,63;10;550;232;42,18;-11,58;206;37,45;1,36;43;7,82;2,18;35;6,36;2,79;3;0,55;0,55;20;3,64;3,64;11;2,00;2,00;;;;;;;;;;;;;;;;;;;;;;;;
30915;Haugschlag                              ;413;83,05;10;333;142;42,64;-4,57;136;40,84;1,45;25;7,51;-0,03;14;4,20;-0,83;0;0,00;0,00;10;3,00;3,00;6;1,80;1,80;;;;;;;;;;;;;;;;;;;;;;;;
30916;Heidenreichstein                        ;3.609;82,49;82;2.895;1.030;35,58;-5,95;1.340;46,29;-1,29;214;7,39;1,69;168;5,80;1,63;21;0,73;0,09;47;1,62;1,62;75;2,59;2,59;;;;;;;;;;;;;;;;;;;;;;;;
30917;Hirschbach                              ;486;85,19;12;402;164;40,80;-7,58;168;41,79;1,64;27;6,72;-0,01;24;5,97;2,23;1;0,25;0,00;7;1,74;1,74;11;2,74;2,74;;;;;;;;;;;;;;;;;;;;;;;;
30920;Hoheneich                               ;1.176;86,05;30;982;390;39,71;-4,20;415;42,26;-1,06;45;4,58;-2,49;50;5,09;0,18;9;0,92;0,63;40;4,07;4,07;33;3,36;3,36;;;;;;;;;;;;;;;;;;;;;;;;
30921;Kirchberg am Walde                      ;1.130;85,13;27;935;490;52,41;-8,27;288;30,80;3,10;76;8,13;0,73;33;3,53;-0,06;3;0,32;0,21;21;2,25;2,25;24;2,57;2,57;;;;;;;;;;;;;;;;;;;;;;;;
30925;Litschau                                ;1.975;81,42;43;1.565;678;43,32;-4,86;596;38,08;-0,23;154;9,84;1,08;55;3,51;-0,01;14;0,89;-0,04;32;2,04;2,04;36;2,30;2,30;;;;;;;;;;;;;;;;;;;;;;;;
30929;Reingers                                ;556;80,94;11;439;267;60,82;-6,29;113;25,74;0,13;27;6,15;0,41;7;1,59;0,27;3;0,68;0,68;13;2,96;2,96;9;2,05;2,05;;;;;;;;;;;;;;;;;;;;;;;;
30932;St. Martin                              ;953;79,33;22;734;344;46,87;-7,66;251;34,20;0,73;63;8,58;2,18;44;5,99;1,19;5;0,68;0,41;15;2,04;2,04;12;1,63;1,63;;;;;;;;;;;;;;;;;;;;;;;;
30935;Schrems                                 ;4.549;82,13;126;3.610;963;26,68;-8,73;2.018;55,90;3,17;257;7,12;0,79;160;4,43;0,01;14;0,39;-0,19;90;2,49;2,49;108;2,99;2,99;;;;;;;;;;;;;;;;;;;;;;;;
30939;Unserfrau - Altweitra                   ;808;85,89;22;672;443;65,92;-3,59;142;21,13;1,40;21;3,13;-3,50;26;3,87;1,22;2;0,30;-0,14;16;2,38;2,38;22;3,27;3,27;;;;;;;;;;;;;;;;;;;;;;;;
30940;Waldenstein                             ;912;86,73;29;762;477;62,60;-5,90;156;20,47;-1,04;47;6,17;0,54;41;5,38;2,56;5;0,66;-0,49;13;1,71;1,71;23;3,02;3,02;;;;;;;;;;;;;;;;;;;;;;;;
30942;Weitra                                  ;2.329;83,47;67;1.877;952;50,72;-8,05;590;31,43;1,52;114;6,07;-0,11;114;6,07;1,66;17;0,91;0,81;35;1,86;1,86;55;2,93;2,93;;;;;;;;;;;;;;;;;;;;;;;;
310;Bezirk Hollabrunn                       ;39.455;83,70;733;32.289;15.858;49,11;-7,71;10.238;31,71;0,60;2.580;7,99;1,60;1.974;6,11;1,36;201;0,62;0,29;555;1,72;1,72;883;2,73;2,73;;;;;;;;;;;;;;;;;;;;;;;;
31001;Alberndorf im Pulkautal                 ;581;82,79;14;467;181;38,76;-7,77;181;38,76;2,52;55;11,78;1,27;23;4,93;-1,56;2;0,43;0,43;8;1,71;1,71;17;3,64;3,64;;;;;;;;;;;;;;;;;;;;;;;;
31008;Göllersdorf                             ;2.206;83,86;42;1.808;863;47,73;-10,24;550;30,42;2,65;175;9,68;2,44;123;6,80;0,53;15;0,83;0,45;36;1,99;1,99;46;2,54;2,54;;;;;;;;;;;;;;;;;;;;;;;;
31009;Grabern                                 ;1.046;85,18;21;870;502;57,70;-6,56;215;24,71;3,06;63;7,24;2,09;47;5,40;-1,93;6;0,69;0,58;8;0,92;0,92;29;3,33;3,33;;;;;;;;;;;;;;;;;;;;;;;;
31014;Guntersdorf                             ;893;88,58;19;772;418;54,15;-8,86;219;28,37;1,31;69;8,94;2,67;29;3,76;0,62;6;0,78;0,39;12;1,55;1,55;19;2,46;2,46;;;;;;;;;;;;;;;;;;;;;;;;
31015;Hadres                                  ;1.367;85,95;26;1.149;562;48,91;-5,44;380;33,07;1,16;89;7,75;-1,04;44;3,83;-0,27;9;0,78;0,52;25;2,18;2,18;40;3,48;3,48;;;;;;;;;;;;;;;;;;;;;;;;
31016;Hardegg                                 ;1.139;87,62;21;977;604;61,82;-3,48;268;27,43;-0,47;43;4,40;0,40;34;3,48;1,08;4;0,41;0,21;9;0,92;0,92;15;1,54;1,54;;;;;;;;;;;;;;;;;;;;;;;;
31018;Haugsdorf                               ;1.366;81,41;26;1.086;438;40,33;-6,04;433;39,87;-0,33;105;9,67;0,45;55;5,06;1,75;4;0,37;-0,35;15;1,38;1,38;36;3,31;3,31;;;;;;;;;;;;;;;;;;;;;;;;
31019;Heldenberg                              ;905;83,54;20;736;429;58,29;-9,61;184;25,00;2,09;49;6,66;1,17;38;5,16;2,00;5;0,68;0,68;8;1,09;1,09;23;3,13;3,13;;;;;;;;;;;;;;;;;;;;;;;;
31021;Hohenwarth - Mühlbach am Manhartsberg   ;1.016;86,91;30;853;492;57,68;-6,46;236;27,67;2,34;44;5,16;-0,40;47;5,51;1,72;5;0,59;-0,24;11;1,29;1,29;18;2,11;2,11;;;;;;;;;;;;;;;;;;;;;;;;
31022;Hollabrunn                              ;8.475;82,89;128;6.897;3.141;45,54;-10,37;2.000;29,00;-0,76;805;11,67;4,87;583;8,45;2,11;57;0,83;0,33;111;1,61;1,61;200;2,90;2,90;;;;;;;;;;;;;;;;;;;;;;;;
31025;Mailberg                                ;478;85,56;7;402;173;43,03;-0,97;169;42,04;-1,46;28;6,97;-2,03;18;4,48;2,73;1;0,25;0,00;5;1,24;1,24;8;1,99;1,99;;;;;;;;;;;;;;;;;;;;;;;;
31026;Maissau                                 ;1.524;80,97;20;1.214;598;49,26;-12,32;389;32,04;2,15;79;6,51;1,96;83;6,84;3,59;7;0,58;0,34;21;1,73;1,73;37;3,05;3,05;;;;;;;;;;;;;;;;;;;;;;;;
31028;Nappersdorf - Kammersdorf               ;1.055;82,75;18;855;455;53,22;-8,91;223;26,08;2,16;79;9,24;-0,06;47;5,50;1,76;2;0,23;0,00;23;2,69;2,69;26;3,04;3,04;;;;;;;;;;;;;;;;;;;;;;;;
31033;Pernersdorf                             ;811;84,34;16;668;275;41,17;-8,54;294;44,01;3,98;43;6,44;0,52;21;3,14;0,11;3;0,45;0,16;17;2,54;2,54;15;2,25;2,25;;;;;;;;;;;;;;;;;;;;;;;;
31035;Pulkau                                  ;1.261;87,15;14;1.085;590;54,38;-4,54;351;32,35;-0,74;50;4,61;0,01;50;4,61;1,94;5;0,46;0,09;13;1,20;1,20;26;2,40;2,40;;;;;;;;;;;;;;;;;;;;;;;;
31036;Ravelsbach                              ;1.358;80,71;43;1.053;532;50,52;-8,38;358;34,00;2,26;48;4,56;0,06;60;5,70;1,48;3;0,28;0,10;14;1,33;1,33;38;3,61;3,61;;;;;;;;;;;;;;;;;;;;;;;;
31037;Retz                                    ;3.392;79,69;72;2.631;1.325;50,36;-4,04;840;31,93;0,04;139;5,28;-1,16;197;7,49;1,27;22;0,84;0,48;43;1,63;1,63;65;2,47;2,47;;;;;;;;;;;;;;;;;;;;;;;;
31038;Retzbach                                ;855;85,61;14;718;389;54,18;-8,93;195;27,16;0,81;45;6,27;0,58;44;6,13;1,55;4;0,56;0,56;14;1,95;1,95;27;3,76;3,76;;;;;;;;;;;;;;;;;;;;;;;;
31041;Schrattenthal                           ;698;87,54;18;593;305;51,43;-6,23;217;36,59;3,73;15;2,53;-2,21;33;5,56;1,45;2;0,34;0,18;14;2,36;2,36;7;1,18;1,18;;;;;;;;;;;;;;;;;;;;;;;;
31042;Seefeld - Kadolz                        ;769;85,83;16;644;216;33,54;-4,61;318;49,38;-0,84;56;8,70;0,80;16;2,48;0,24;7;1,09;0,94;19;2,95;2,95;12;1,86;1,86;;;;;;;;;;;;;;;;;;;;;;;;
31043;Sitzendorf an der Schmida               ;1.759;85,28;29;1.471;848;57,65;-8,81;397;26,99;1,71;93;6,32;1,91;69;4,69;1,66;7;0,48;0,14;25;1,70;1,70;32;2,18;2,18;;;;;;;;;;;;;;;;;;;;;;;;
31051;Wullersdorf                             ;1.870;83,64;30;1.534;765;49,87;-8,77;439;28,62;1,03;160;10,43;1,95;85;5,54;0,91;10;0,65;0,52;46;3,00;3,00;29;1,89;1,89;;;;;;;;;;;;;;;;;;;;;;;;
31052;Zellerndorf                             ;2.079;83,12;34;1.694;768;45,34;-4,78;660;38,96;-1,19;96;5,67;1,81;83;4,90;0,12;8;0,47;0,24;25;1,48;1,48;54;3,19;3,19;;;;;;;;;;;;;;;;;;;;;;;;
31053;Ziersdorf                               ;2.552;84,91;55;2.112;989;46,83;-6,89;722;34,19;-0,15;152;7,20;0,66;145;6,87;2,17;7;0,33;0,05;33;1,56;1,56;64;3,03;3,03;;;;;;;;;;;;;;;;;;;;;;;;
311;Bezirk Horn                             ;25.123;85,11;526;20.857;11.443;54,86;-6,83;5.737;27,51;0,65;1.349;6,47;0,64;1.328;6,37;1,66;109;0,52;0,20;379;1,82;1,82;512;2,45;2,45;;;;;;;;;;;;;;;;;;;;;;;;
31101;Altenburg                               ;621;86,31;14;522;273;52,30;-10,32;147;28,16;3,11;36;6,90;-1,39;28;5,36;1,31;2;0,38;0,38;9;1,72;1,72;27;5,17;5,17;;;;;;;;;;;;;;;;;;;;;;;;
31102;Brunn an der Wild                       ;680;87,79;14;583;434;74,44;-4,79;74;12,69;0,89;32;5,49;-1,02;18;3,09;1,15;3;0,51;0,51;16;2,74;2,74;6;1,03;1,03;;;;;;;;;;;;;;;;;;;;;;;;
31103;Burgschleinitz - Kühnring               ;1.091;86,62;21;924;534;57,79;-7,52;239;25,87;1,46;52;5,63;1,22;54;5,84;1,66;11;1,19;0,51;14;1,52;1,52;20;2,16;2,16;;;;;;;;;;;;;;;;;;;;;;;;
31104;Drosendorf - Zissersdorf                ;1.011;83,38;17;826;459;55,57;-6,20;200;24,21;-0,96;79;9,56;0,94;42;5,08;1,23;1;0,12;-0,11;24;2,91;2,91;21;2,54;2,54;;;;;;;;;;;;;;;;;;;;;;;;
31105;Eggenburg                               ;2.694;81,59;63;2.135;888;41,59;-6,63;769;36,02;-0,70;151;7,07;-0,12;195;9,13;2,57;11;0,52;0,21;53;2,48;2,48;68;3,19;3,19;;;;;;;;;;;;;;;;;;;;;;;;
31106;Gars am Kamp                            ;2.844;84,63;37;2.370;1.119;47,22;-7,63;716;30,21;0,38;192;8,10;-0,10;206;8,69;2,72;19;0,80;0,20;48;2,03;2,03;70;2,95;2,95;;;;;;;;;;;;;;;;;;;;;;;;
31107;Geras                                   ;1.119;87,31;16;961;609;63,37;-4,26;234;24,35;2,46;43;4,47;-1,39;31;3,23;0,04;6;0,62;0,52;14;1,46;1,46;24;2,50;2,50;;;;;;;;;;;;;;;;;;;;;;;;
31109;Horn                                    ;4.984;83,09;135;4.006;1.925;48,05;-9,60;1.144;28,56;0,60;313;7,81;1,69;417;10,41;3,14;13;0,32;-0,02;86;2,15;2,15;108;2,70;2,70;;;;;;;;;;;;;;;;;;;;;;;;
