;;Nationalratswahl vom 28.09.2008 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;26;2.046;769;37,59;37,59;537;26,25;26,25;265;12,95;12,95;239;11,68;11,68;99;4,84;4,84;19;0,93;0,93;66;3,23;3,23;8;0,39;0,39;9;0,44;0,44;35;1,71;1,71;;;;;;;;;;;;;;;
30301;Waidhofen an der Ybbs                   ;9.246;78,35;211;7.033;1.798;25,57;-3,73;2.547;36,21;-8,71;562;7,99;-2,06;1.030;14,65;5,35;599;8,52;6,08;45;0,64;0,64;113;1,61;1,61;31;0,44;-0,21;115;1,64;1,64;193;2,74;2,74;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;15;702;144;20,51;20,51;310;44,16;44,16;99;14,10;14,10;56;7,98;7,98;39;5,56;5,56;4;0,57;0,57;19;2,71;2,71;1;0,14;0,14;6;0,85;0,85;24;3,42;3,42;;;;;;;;;;;;;;;
30401;Wiener Neustadt                         ;30.245;70,95;435;21.023;8.153;38,78;-9,45;3.729;17,74;-5,21;1.740;8,28;-1,25;4.737;22,53;10,50;1.490;7,09;4,36;154;0,73;0,73;507;2,41;2,41;206;0,98;-0,15;99;0,47;0,47;208;0,99;0,99;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;16;1.415;445;31,45;31,45;394;27,84;27,84;153;10,81;10,81;226;15,97;15,97;88;6,22;6,22;18;1,27;1,27;53;3,75;3,75;9;0,64;0,64;11;0,78;0,78;18;1,27;1,27;;;;;;;;;;;;;;;
305;Bezirk Amstetten                        ;88.546;85,93;2.067;74.017;20.577;27,80;-5,95;26.545;35,86;-8,12;5.478;7,40;-0,02;12.616;17,04;7,86;5.415;7,32;4,88;609;0,82;0,82;816;1,10;1,10;376;0,51;-0,15;487;0,66;0,66;1.098;1,48;1,48;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;112;6.041;1.601;26,50;26,50;2.396;39,66;39,66;666;11,02;11,02;682;11,29;11,29;333;5,51;5,51;68;1,13;1,13;119;1,97;1,97;29;0,48;0,48;58;0,96;0,96;89;1,47;1,47;;;;;;;;;;;;;;;
30501;Allhartsberg                            ;1.590;83,90;40;1.294;277;21,41;-3,92;564;43,59;-12,25;89;6,88;-0,26;198;15,30;9,03;101;7,81;5,61;13;1,00;1,00;7;0,54;0,54;6;0,46;-0,25;9;0,70;0,70;30;2,32;2,32;;;;;;;;;;;;;;;
30502;Amstetten                               ;17.981;73,14;324;12.828;4.563;35,57;-7,60;3.056;23,82;-7,40;981;7,65;-0,82;2.726;21,25;10,19;899;7,01;4,33;95;0,74;0,74;182;1,42;1,42;68;0,53;-0,16;79;0,62;0,62;179;1,40;1,40;;;;;;;;;;;;;;;
30503;Ardagger                                ;2.606;81,70;84;2.045;341;16,67;-4,55;862;42,15;-10,95;139;6,80;-0,05;452;22,10;9,42;147;7,19;4,75;25;1,22;1,22;8;0,39;0,39;15;0,73;-0,26;16;0,78;0,78;40;1,96;1,96;;;;;;;;;;;;;;;
30504;Aschbach-Markt                          ;2.781;77,74;71;2.091;393;18,79;-4,54;910;43,52;-10,73;124;5,93;-0,64;389;18,60;8,63;187;8,94;6,32;16;0,77;0,77;23;1,10;1,10;10;0,48;0,07;13;0,62;0,62;26;1,24;1,24;;;;;;;;;;;;;;;
30506;Behamberg                               ;2.588;83,58;57;2.106;520;24,69;-6,05;751;35,66;-9,65;163;7,74;-0,57;383;18,19;8,09;200;9,50;6,78;9;0,43;0,43;20;0,95;0,95;8;0,38;-0,20;19;0,90;0,90;33;1,57;1,57;;;;;;;;;;;;;;;
30507;Biberbach                               ;1.683;78,73;45;1.280;246;19,22;-3,84;613;47,89;-9,38;62;4,84;-1,34;186;14,53;6,99;108;8,44;6,33;5;0,39;0,39;6;0,47;0,47;11;0,86;-0,27;12;0,94;0,94;31;2,42;2,42;;;;;;;;;;;;;;;
30508;Ennsdorf                                ;2.039;75,67;24;1.519;716;47,14;-9,41;231;15,21;-3,77;118;7,77;0,96;276;18,17;6,00;120;7,90;5,59;15;0,99;0,99;13;0,86;0,86;8;0,53;-0,33;4;0,26;0,26;18;1,18;1,18;;;;;;;;;;;;;;;
30509;Ernsthofen                              ;1.714;82,44;48;1.365;460;33,70;-7,67;410;30,04;-7,47;92;6,74;-0,76;254;18,61;8,70;98;7,18;5,87;11;0,81;0,81;20;1,47;1,47;1;0,07;-0,51;10;0,73;0,73;9;0,66;0,66;;;;;;;;;;;;;;;
30510;Ertl                                    ;989;79,98;20;771;94;12,19;-2,59;432;56,03;-14,40;17;2,20;-0,28;106;13,75;7,79;95;12,32;8,97;8;1,04;1,04;4;0,52;0,52;4;0,52;-0,72;2;0,26;0,26;9;1,17;1,17;;;;;;;;;;;;;;;
30511;Euratsfeld                              ;1.948;87,01;53;1.642;199;12,12;-2,23;901;54,87;-11,15;119;7,25;-0,30;248;15,10;8,18;98;5,97;4,33;13;0,79;0,79;12;0,73;0,73;7;0,43;-0,20;10;0,61;0,61;35;2,13;2,13;;;;;;;;;;;;;;;
30512;Ferschnitz                              ;1.312;79,50;28;1.015;150;14,78;-5,56;507;49,95;-10,35;67;6,60;1,07;207;20,39;12,18;51;5,02;2,88;6;0,59;0,59;4;0,39;0,39;4;0,39;-0,32;3;0,30;0,30;16;1,58;1,58;;;;;;;;;;;;;;;
30514;Haag                                    ;4.347;76,90;78;3.265;852;26,09;-4,53;1.259;38,56;-7,97;316;9,68;-0,30;427;13,08;5,07;225;6,89;5,07;35;1,07;1,07;51;1,56;1,56;16;0,49;-0,18;20;0,61;0,61;64;1,96;1,96;;;;;;;;;;;;;;;
30515;Haidershofen                            ;2.847;83,95;71;2.319;693;29,88;-4,28;789;34,02;-10,47;183;7,89;-0,36;366;15,78;7,85;199;8,58;6,13;23;0,99;0,99;19;0,82;0,82;13;0,56;0,15;7;0,30;0,30;27;1,16;1,16;;;;;;;;;;;;;;;
30516;Hollenstein an der Ybbs                 ;1.454;77,72;25;1.105;394;35,66;-7,69;429;38,82;-4,62;42;3,80;-0,52;123;11,13;6,39;70;6,33;4,21;6;0,54;0,54;13;1,18;1,18;1;0,09;-0,33;15;1,36;1,36;12;1,09;1,09;;;;;;;;;;;;;;;
30517;Kematen an der Ybbs                     ;1.989;80,29;42;1.555;668;42,96;-7,57;365;23,47;-4,80;72;4,63;-0,87;303;19,49;10,48;94;6,05;2,99;14;0,90;0,90;10;0,64;0,64;10;0,64;-0,17;4;0,26;0,26;15;0,96;0,96;;;;;;;;;;;;;;;
30520;Neuhofen an der Ybbs                    ;2.112;81,87;70;1.659;200;12,06;-5,66;790;47,62;-11,78;106;6,39;-0,40;303;18,26;7,99;171;10,31;7,91;16;0,96;0,96;20;1,21;1,21;10;0,60;-0,06;11;0,66;0,66;32;1,93;1,93;;;;;;;;;;;;;;;
30521;Neustadtl an der Donau                  ;1.726;84,24;46;1.408;284;20,17;-5,51;688;48,86;-8,71;46;3,27;-2,17;258;18,32;11,34;85;6,04;4,23;15;1,07;1,07;6;0,43;0,43;3;0,21;-0,14;2;0,14;0,14;21;1,49;1,49;;;;;;;;;;;;;;;
30522;Oed - Oehling                           ;1.301;78,94;30;997;203;20,36;-5,06;382;38,31;-13,82;110;11,03;2,52;171;17,15;9,34;78;7,82;4,95;4;0,40;0,40;16;1,60;1,60;7;0,70;-0,29;3;0,30;0,30;23;2,31;2,31;;;;;;;;;;;;;;;
30524;Opponitz                                ;754;79,18;11;586;168;28,67;-6,59;241;41,13;-8,29;36;6,14;0,54;86;14,68;8,75;35;5,97;4,82;7;1,19;1,19;3;0,51;0,51;6;1,02;0,53;1;0,17;0,17;3;0,51;0,51;;;;;;;;;;;;;;;
30526;St. Georgen am Reith                    ;455;83,30;8;371;107;28,84;-6,87;158;42,59;-6,64;22;5,93;2,10;39;10,51;3,37;32;8,63;6,84;2;0,54;0,54;3;0,81;0,81;3;0,81;0,30;2;0,54;0,54;3;0,81;0,81;;;;;;;;;;;;;;;
30527;St. Georgen am Ybbsfelde                ;2.046;81,28;47;1.616;352;21,78;-7,44;617;38,18;-9,44;111;6,87;0,82;341;21,10;9,49;106;6,56;3,87;23;1,42;1,42;14;0,87;0,87;9;0,56;0,19;20;1,24;1,24;23;1,42;1,42;;;;;;;;;;;;;;;
30529;St. Pantaleon - Erla                    ;1.969;81,41;46;1.557;594;38,15;-7,78;381;24,47;-6,61;107;6,87;-0,08;310;19,91;10,82;107;6,87;5,05;8;0,51;0,51;11;0,71;0,71;17;1,09;0,28;1;0,06;0,06;21;1,35;1,35;;;;;;;;;;;;;;;
30530;St. Peter in der Au                     ;3.949;80,75;89;3.100;555;17,90;-4,20;1.443;46,55;-12,21;255;8,23;0,88;458;14,77;7,42;256;8,26;6,29;23;0,74;0,74;23;0,74;0,74;9;0,29;-0,10;20;0,65;0,65;58;1,87;1,87;;;;;;;;;;;;;;;
30531;St. Valentin                            ;7.486;80,96;163;5.898;2.610;44,25;-8,03;1.157;19,62;-4,56;486;8,24;-0,86;1.025;17,38;7,86;423;7,17;5,41;38;0,64;0,64;57;0,97;0,97;41;0,70;0,10;22;0,37;0,37;39;0,66;0,66;;;;;;;;;;;;;;;
30532;Seitenstetten                           ;2.537;79,62;65;1.955;355;18,16;-2,49;842;43,07;-11,02;201;10,28;1,41;311;15,91;8,49;159;8,13;2,92;14;0,72;0,72;21;1,07;1,07;9;0,46;-0,19;13;0,66;0,66;30;1,53;1,53;;;;;;;;;;;;;;;
30533;Sonntagberg                             ;3.208;78,93;70;2.462;1.074;43,62;-7,90;575;23,35;-4,33;135;5,48;-0,19;405;16,45;7,78;163;6,62;4,18;25;1,02;1,02;17;0,69;0,69;11;0,45;-0,47;19;0,77;0,77;38;1,54;1,54;;;;;;;;;;;;;;;
30534;Strengberg                              ;1.633;79,18;60;1.233;288;23,36;-5,93;552;44,77;-8,48;79;6,41;0,14;173;14,03;7,28;97;7,87;6,36;3;0,24;0,24;22;1,78;1,78;2;0,16;-0,40;8;0,65;0,65;9;0,73;0,73;;;;;;;;;;;;;;;
30536;Viehdorf                                ;972;83,54;21;791;132;16,69;-2,61;382;48,29;-11,74;47;5,94;1,18;133;16,81;7,41;63;7,96;4,33;4;0,51;0,51;3;0,38;0,38;4;0,51;0,13;7;0,88;0,88;16;2,02;2,02;;;;;;;;;;;;;;;
30538;Wallsee - Sindelburg                    ;1.742;74,97;43;1.263;338;26,76;-2,79;513;40,62;-7,22;68;5,38;-0,81;233;18,45;7,55;64;5,07;2,16;3;0,24;0,24;21;1,66;1,66;3;0,24;-0,36;7;0,55;0,55;13;1,03;1,03;;;;;;;;;;;;;;;
30539;Weistrach                               ;1.759;80,56;26;1.391;198;14,23;-2,51;712;51,19;-12,73;79;5,68;-1,46;190;13,66;6,37;114;8,20;6,11;5;0,36;0,36;14;1,01;1,01;10;0,72;0,00;11;0,79;0,79;58;4,17;4,17;;;;;;;;;;;;;;;
30541;Winklarn                                ;1.213;76,26;19;906;246;27,15;-3,83;305;33,66;-10,69;51;5,63;-2,66;196;21,63;12,10;68;7,51;4,50;13;1,43;1,43;11;1,21;1,21;1;0,11;-0,72;4;0,44;0,44;11;1,21;1,21;;;;;;;;;;;;;;;
30542;Wolfsbach                               ;1.496;81,55;29;1.191;156;13,10;-3,53;671;56,34;-8,76;59;4,95;0,83;168;14,11;5,55;85;7,14;5,00;8;0,67;0,67;9;0,76;0,76;5;0,42;-0,32;20;1,68;1,68;10;0,84;0,84;;;;;;;;;;;;;;;
30543;Ybbsitz                                 ;2.951;79,94;74;2.285;389;17,02;-4,18;1.141;49,93;-7,04;163;7,13;-0,82;275;12,04;4,39;191;8,36;5,80;25;1,09;1,09;24;1,05;1,05;8;0,35;-0,50;31;1,36;1,36;38;1,66;1,66;;;;;;;;;;;;;;;
30544;Zeillern                                ;1.369;82,91;28;1.107;161;14,54;-3,71;520;46,97;-11,36;67;6,05;-0,97;215;19,42;9,51;93;8,40;4,28;11;0,99;0,99;10;0,90;0,90;7;0,63;0,28;4;0,36;0,36;19;1,72;1,72;;;;;;;;;;;;;;;
306;Bezirk Baden                            ;101.099;80,81;1.578;80.117;27.008;33,71;-8,39;18.392;22,96;-6,19;7.519;9,39;-1,04;17.067;21,30;9,80;5.731;7,15;4,58;742;0,93;0,93;1.927;2,41;2,41;509;0,64;-0,14;364;0,45;0,45;858;1,07;1,07;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;58;5.355;1.508;28,16;28,16;1.667;31,13;31,13;664;12,40;12,40;812;15,16;15,16;297;5,55;5,55;65;1,21;1,21;211;3,94;3,94;27;0,50;0,50;33;0,62;0,62;71;1,33;1,33;;;;;;;;;;;;;;;
30601;Alland                                  ;1.895;74,92;29;1.390;301;21,65;-7,90;414;29,78;-12,35;129;9,28;-0,07;324;23,31;11,95;142;10,22;7,56;13;0,94;0,94;32;2,30;2,30;10;0,72;0,29;9;0,65;0,65;16;1,15;1,15;;;;;;;;;;;;;;;
30602;Altenmarkt an der Triesting             ;1.535;77,92;35;1.161;280;24,12;-6,91;462;39,79;-7,29;62;5,34;-1,16;219;18,86;9,64;82;7,06;4,59;9;0,78;0,78;16;1,38;1,38;5;0,43;-0,48;9;0,78;0,78;17;1,46;1,46;;;;;;;;;;;;;;;
30603;Bad Vöslau                              ;8.451;75,97;137;6.283;2.091;33,28;-6,55;1.379;21,95;-7,45;711;11,32;-1,33;1.297;20,64;9,20;416;6,62;4,38;66;1,05;1,05;178;2,83;2,83;42;0,67;-0,07;33;0,53;0,53;70;1,11;1,11;;;;;;;;;;;;;;;
30604;Baden                                   ;19.015;70,00;236;13.075;3.030;23,17;-4,00;4.122;31,53;-7,31;1.888;14,44;-1,91;2.217;16,96;6,46;927;7,09;4,25;130;0,99;0,99;457;3,50;3,50;76;0,58;-0,27;85;0,65;0,65;143;1,09;1,09;;;;;;;;;;;;;;;
30605;Berndorf                                ;6.391;72,15;89;4.522;1.784;39,45;-9,71;786;17,38;-4,28;367;8,12;-0,26;1.109;24,52;10,91;283;6,26;3,70;42;0,93;0,93;70;1,55;1,55;20;0,44;-0,18;14;0,31;0,31;47;1,04;1,04;;;;;;;;;;;;;;;
30607;Ebreichsdorf                            ;7.239;74,80;91;5.324;1.947;36,57;-10,43;881;16,55;-6,55;441;8,28;-1,50;1.321;24,81;11,12;437;8,21;5,99;53;1,00;1,00;115;2,16;2,16;31;0,58;-0,02;20;0,38;0,38;78;1,47;1,47;;;;;;;;;;;;;;;
30608;Enzesfeld - Lindabrunn                  ;3.173;79,01;58;2.449;976;39,85;-10,49;410;16,74;-5,62;183;7,47;-1,84;593;24,21;12,25;177;7,23;4,82;13;0,53;0,53;44;1,80;1,80;17;0,69;-0,23;10;0,41;0,41;26;1,06;1,06;;;;;;;;;;;;;;;
30609;Furth an der Triesting                  ;633;83,25;15;512;71;13,87;-5,67;234;45,70;-12,71;26;5,08;-0,53;97;18,95;8,70;42;8,20;6,46;13;2,54;2,54;3;0,59;0,59;5;0,98;0,40;7;1,37;1,37;14;2,73;2,73;;;;;;;;;;;;;;;
30612;Günselsdorf                             ;1.323;76,95;19;999;424;42,44;-12,60;159;15,92;-4,75;55;5,51;-0,37;241;24,12;12,66;79;7,91;5,17;9;0,90;0,90;12;1,20;1,20;9;0,90;0,51;1;0,10;0,10;10;1,00;1,00;;;;;;;;;;;;;;;
30613;Heiligenkreuz                           ;1.089;77,94;22;826;171;20,70;-5,21;276;33,41;-9,73;90;10,90;-2,43;164;19,85;8,53;66;7,99;5,47;6;0,73;0,73;26;3,15;3,15;6;0,73;0,23;13;1,57;1,57;8;0,97;0,97;;;;;;;;;;;;;;;
30614;Hernstein                               ;1.172;85,67;31;973;229;23,54;-6,07;429;44,09;-6,72;59;6,06;0,08;156;16,03;7,11;63;6,47;4,54;8;0,82;0,82;14;1,44;1,44;4;0,41;-0,50;3;0,31;0,31;8;0,82;0,82;;;;;;;;;;;;;;;
30615;Hirtenberg                              ;1.687;77,53;13;1.295;582;44,94;-8,55;127;9,81;-3,54;75;5,79;-1,95;396;30,58;11,16;59;4,56;2,51;14;1,08;1,08;21;1,62;1,62;12;0,93;0,32;5;0,39;0,39;4;0,31;0,31;;;;;;;;;;;;;;;
30616;Klausen - Leopoldsdorf                  ;1.184;74,49;24;858;271;31,59;-7,14;206;24,01;-11,68;54;6,29;-1,99;181;21,10;8,80;91;10,61;8,05;9;1,05;1,05;19;2,21;2,21;5;0,58;0,58;3;0,35;0,35;19;2,21;2,21;;;;;;;;;;;;;;;
30618;Kottingbrunn                            ;5.573;77,37;73;4.239;1.588;37,46;-8,18;714;16,84;-6,99;356;8,40;-1,80;981;23,14;10,51;351;8,28;5,75;43;1,01;1,01;98;2,31;2,31;38;0,90;-0,14;23;0,54;0,54;47;1,11;1,11;;;;;;;;;;;;;;;
30620;Leobersdorf                             ;3.150;76,06;53;2.343;903;38,54;-8,32;423;18,05;-6,82;159;6,79;-1,64;552;23,56;11,43;196;8,37;5,57;19;0,81;0,81;50;2,13;2,13;14;0,60;-0,17;6;0,26;0,26;21;0,90;0,90;;;;;;;;;;;;;;;
30621;Mitterndorf an der Fischa               ;1.481;71,98;22;1.044;416;39,85;-14,93;121;11,59;-6,54;64;6,13;0,51;299;28,64;14,55;91;8,72;5,57;8;0,77;0,77;20;1,92;1,92;8;0,77;-0,02;3;0,29;0,29;14;1,34;1,34;;;;;;;;;;;;;;;
30623;Oberwaltersdorf                         ;2.845;76,03;31;2.132;734;34,43;-11,24;449;21,06;-5,14;211;9,90;-1,35;414;19,42;10,11;189;8,86;4,93;16;0,75;0,75;66;3,10;3,10;15;0,70;-0,20;4;0,19;0,19;34;1,59;1,59;;;;;;;;;;;;;;;
30625;Pfaffstätten                            ;2.401;80,09;42;1.881;461;24,51;-5,69;675;35,89;-4,21;237;12,60;-3,43;298;15,84;7,58;109;5,79;3,44;13;0,69;0,69;43;2,29;2,29;22;1,17;0,40;7;0,37;0,37;16;0,85;0,85;;;;;;;;;;;;;;;
30626;Pottendorf                              ;4.800;76,79;61;3.625;1.494;41,21;-10,43;661;18,23;-6,12;215;5,93;-0,53;871;24,03;12,82;260;7,17;4,46;39;1,08;1,08;41;1,13;1,13;21;0,58;-0,17;9;0,25;0,25;14;0,39;0,39;;;;;;;;;;;;;;;
30627;Pottenstein                             ;2.209;77,00;33;1.668;643;38,55;-9,91;339;20,32;-6,54;128;7,67;0,04;391;23,44;14,33;90;5,40;3,27;12;0,72;0,72;26;1,56;1,56;14;0,84;-0,23;9;0,54;0,54;16;0,96;0,96;;;;;;;;;;;;;;;
30629;Reisenberg                              ;1.161;85,62;26;968;437;45,14;-6,39;214;22,11;-4,87;31;3,20;-2,17;179;18,49;8,58;69;7,13;4,18;2;0,21;0,21;21;2,17;2,17;5;0,52;-0,11;3;0,31;0,31;7;0,72;0,72;;;;;;;;;;;;;;;
30631;Schönau an der Triesting                ;1.477;73,39;27;1.057;413;39,07;-10,79;196;18,54;-5,12;76;7,19;-1,42;245;23,18;12,57;76;7,19;4,65;5;0,47;0,47;24;2,27;2,27;11;1,04;0,22;1;0,09;0,09;10;0,95;0,95;;;;;;;;;;;;;;;
30633;Seibersdorf                             ;1.087;79,02;26;833;210;25,21;-5,37;326;39,14;-6,79;43;5,16;-1,24;172;20,65;9,14;53;6,36;4,15;7;0,84;0,84;12;1,44;1,44;3;0,36;-0,34;1;0,12;0,12;6;0,72;0,72;;;;;;;;;;;;;;;
30635;Sooß                                    ;833;78,87;16;641;182;28,39;0,69;199;31,05;-11,08;77;12,01;-1,26;104;16,22;6,16;51;7,96;5,77;4;0,62;0,62;13;2,03;2,03;3;0,47;-0,55;1;0,16;0,16;7;1,09;1,09;;;;;;;;;;;;;;;
30636;Tattendorf                              ;960;78,54;16;738;235;31,84;-9,53;197;26,69;-7,98;60;8,13;-0,84;157;21,27;12,70;59;7,99;5,18;8;1,08;1,08;15;2,03;2,03;0;0,00;-0,80;3;0,41;0,41;4;0,54;0,54;;;;;;;;;;;;;;;
30637;Teesdorf                                ;1.299;81,14;27;1.027;481;46,84;-7,47;214;20,84;-4,08;66;6,43;0,45;172;16,75;7,63;59;5,74;4,12;6;0,58;0,58;16;1,56;1,56;3;0,29;-1,23;1;0,10;0,10;9;0,88;0,88;;;;;;;;;;;;;;;
30639;Traiskirchen                            ;12.172;76,71;210;9.127;3.601;39,45;-11,26;1.434;15,71;-5,77;730;8,00;-0,56;2.226;24,39;12,32;660;7,23;4,66;90;0,99;0,99;200;2,19;2,19;61;0,67;-0,04;35;0,38;0,38;90;0,99;0,99;;;;;;;;;;;;;;;
