;;Nationalratswahl vom 28.09.2008 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;SPÖ;;;ÖVP;;;GRÜNE;;;FPÖ;;;BZÖ;;;RETTÖ;;;LIF;;;KPÖ;;;DC;;;FRITZ;;;;;;;;;;;;;;;;;
Kenn-Nr.;Bezeichnung;Wahl-berecht.;Wahl-bet. in%;ungült. Stim.;Gültige Stimmen;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;;;;;;;;;;;;;;;
3;Land Niederösterreich                   ;1.258.033;84,45;25.346;1.037.057;314.978;30,37;-5,79;334.358;32,24;-6,98;83.679;8,07;-0,92;187.542;18,08;8,44;65.851;6,35;4,09;8.389;0,81;0,81;18.656;1,80;1,80;6.501;0,63;-0,12;5.275;0,51;0,51;11.828;1,14;1,14;;;;;;;;;;;;;;;
     ;Ungültige Wahlkarten ohne Zuordnung     ;         ;      ;0;         ;         ;      ;       ;         ;      ;       ;         ;      ;       ;         ;      ;       ;         ;      ;       ;         ;      ;       ;         ;      ;       ;         ;      ;       ;         ;      ;       ;         ;      ;       ;;;;;;;;;;;;;;;
     ;WK Weinviertel                          ;232.120;84,95;4.643;192.533;58.080;30,17;-5,14;66.027;34,29;-6,95;13.951;7,25;-0,66;35.371;18,37;8,69;10.729;5,57;3,48;1.434;0,74;0,74;3.184;1,65;1,65;1.088;0,57;-0,15;710;0,37;0,37;1.959;1,02;1,02;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;22;2.039;564;27,66;27,66;518;25,40;25,40;284;13,93;13,93;387;18,98;18,98;135;6,62;6,62;31;1,52;1,52;52;2,55;2,55;19;0,93;0,93;14;0,69;0,69;35;1,72;1,72;;;;;;;;;;;;;;;
     ;WK Waldviertel                          ;181.466;85,64;4.607;150.800;39.802;26,39;-4,22;64.012;42,45;-6,60;9.425;6,25;-0,66;23.007;15,26;7,29;8.438;5,60;3,46;983;0,65;0,65;1.667;1,11;1,11;932;0,62;-0,04;706;0,47;0,47;1.828;1,21;1,21;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;22;1.380;278;20,14;20,14;443;32,10;32,10;218;15,80;15,80;251;18,19;18,19;86;6,23;6,23;18;1,30;1,30;39;2,83;2,83;14;1,01;1,01;9;0,65;0,65;24;1,74;1,74;;;;;;;;;;;;;;;
     ;WK Mostviertel                          ;192.009;86,50;4.547;161.550;44.420;27,50;-5,75;59.519;36,84;-8,08;11.112;6,88;-0,64;27.485;17,01;8,35;11.511;7,13;4,82;1.368;0,85;0,85;1.746;1,08;1,08;822;0,51;-0,17;1.251;0,77;0,77;2.316;1,43;1,43;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;18;1.351;294;21,76;21,76;371;27,46;27,46;285;21,10;21,10;190;14,06;14,06;100;7,40;7,40;18;1,33;1,33;43;3,18;3,18;14;1,04;1,04;10;0,74;0,74;26;1,92;1,92;;;;;;;;;;;;;;;
     ;WK Niederösterreich Mitte               ;190.098;84,58;3.853;156.938;49.329;31,43;-6,10;48.646;31,00;-6,34;12.807;8,16;-0,96;28.353;18,07;8,18;9.970;6,35;4,16;1.427;0,91;0,91;2.713;1,73;1,73;1.104;0,70;-0,12;785;0,50;0,50;1.804;1,15;1,15;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;32;1.421;380;26,74;26,74;403;28,36;28,36;220;15,48;15,48;228;16,05;16,05;102;7,18;7,18;13;0,91;0,91;44;3,10;3,10;8;0,56;0,56;9;0,63;0,63;14;0,99;0,99;;;;;;;;;;;;;;;
     ;WK Niederösterreich Süd                 ;156.830;83,06;3.174;127.085;44.788;35,24;-7,14;33.050;26,01;-6,80;8.077;6,36;-1,06;26.573;20,91;9,88;8.669;6,82;4,39;1.072;0,84;0,84;1.921;1,51;1,51;820;0,65;-0,15;723;0,57;0,57;1.392;1,10;1,10;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;14;957;286;29,89;29,89;207;21,63;21,63;140;14,63;14,63;177;18,50;18,50;64;6,69;6,69;11;1,15;1,15;37;3,87;3,87;12;1,25;1,25;12;1,25;1,25;11;1,15;1,15;;;;;;;;;;;;;;;
     ;WK Wien-Umgebung                        ;171.453;82,95;2.359;139.862;41.343;29,56;-5,46;37.078;26,51;-6,97;18.956;13,55;-1,77;24.134;17,26;7,31;8.993;6,43;4,04;1.155;0,83;0,83;5.084;3,64;3,64;1.033;0,74;-0,11;678;0,48;0,48;1.408;1,01;1,01;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;35;2.482;643;25,91;25,91;670;26,99;26,99;410;16,52;16,52;361;14,54;14,54;175;7,05;7,05;19;0,77;0,77;141;5,68;5,68;23;0,93;0,93;14;0,56;0,56;26;1,05;1,05;;;;;;;;;;;;;;;
     ;WK Niederösterreich Süd-Ost             ;134.057;82,39;2.163;108.289;37.216;34,37;-7,63;26.026;24,03;-6,82;9.351;8,64;-1,04;22.619;20,89;9,87;7.541;6,96;4,59;950;0,88;0,88;2.341;2,16;2,16;702;0,65;-0,12;422;0,39;0,39;1.121;1,04;1,04;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;19;1.239;371;29,94;29,94;310;25,02;25,02;167;13,48;13,48;217;17,51;17,51;88;7,10;7,10;12;0,97;0,97;37;2,99;2,99;11;0,89;0,89;10;0,81;0,81;16;1,29;1,29;;;;;;;;;;;;;;;
30101;Krems an der Donau                      ;18.700;72,80;312;13.302;4.346;32,67;-4,83;3.658;27,50;-6,21;1.258;9,46;-1,84;2.398;18,03;7,38;808;6,07;3,61;102;0,77;0,77;264;1,98;1,98;209;1,57;0,34;58;0,44;0,44;201;1,51;1,51;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;11;997;254;25,48;25,48;360;36,11;36,11;143;14,34;14,34;143;14,34;14,34;39;3,91;3,91;4;0,40;0,40;35;3,51;3,51;8;0,80;0,80;3;0,30;0,30;8;0,80;0,80;;;;;;;;;;;;;;;
30201;St. Pölten                              ;39.274;73,91;585;28.443;11.359;39,94;-8,15;6.031;21,20;-4,27;2.543;8,94;-1,13;5.444;19,14;8,69;1.649;5,80;3,58;232;0,82;0,82;543;1,91;1,91;241;0,85;-0,10;104;0,37;0,37;297;1,04;1,04;;;;;;;;;;;;;;;
