	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	FPÖ	ÖVP	GRÜNE	KPÖ	LIF
236	41203	Aurolzmünster                 	2071	1627	37	1590	527	297	671	82	3	10
237	41204	Eberschwang                   	2521	2182	60	2122	846	343	779	136	8	10
238	41205	Eitzing                       	526	451	12	439	103	62	256	13	2	3
239	41206	Geiersberg                    	392	335	7	328	84	40	182	18	1	3
240	41207	Geinberg                      	953	798	18	780	190	187	350	43	4	6
241	41208	Gurten                        	855	729	20	709	176	107	375	41	2	8
242	41209	Hohenzell                     	1507	1248	18	1230	244	124	760	89	1	12
243	41210	Kirchdorf am Inn              	462	391	4	387	85	47	239	16	0	0
244	41211	Kirchheim im Innkreis         	507	438	19	419	87	65	247	16	2	2
245	41212	Lambrechten                   	969	836	21	815	132	149	498	31	3	2
246	41213	Lohnsburg am Kobernaußerwald  	1720	1427	23	1404	288	293	742	65	5	11
247	41214	Mehrnbach                     	1745	1424	33	1391	329	255	712	79	7	9
248	41215	Mettmach                      	1849	1508	43	1465	445	267	677	58	16	2
249	41216	Mörschwang                    	225	199	2	197	25	13	142	13	2	2
250	41217	Mühlheim am Inn               	501	442	11	431	152	58	188	29	1	3
251	41218	Neuhofen im Innkreis          	1516	1286	19	1267	385	147	611	112	5	7
252	41219	Obernberg am Inn              	1247	912	6	906	260	155	420	55	7	9
253	41220	Ort im Innkreis               	870	738	12	726	151	148	387	27	3	10
254	41221	Pattigham                     	631	524	8	516	101	51	324	33	6	1
255	41222	Peterskirchen                 	519	452	3	449	43	57	314	31	2	2
256	41223	Pramet                        	732	612	7	605	187	110	272	29	2	5
257	41224	Reichersberg                  	1011	852	16	836	223	111	446	45	4	7
258	41225	Ried im Innkreis              	8308	6560	98	6462	1925	1090	2656	703	37	51
259	41226	St.Georgen b. Obernberg am Inn	431	368	4	364	45	27	265	23	1	3
260	41227	St.Marienkirchen am Hausruck  	511	451	9	442	47	80	290	16	3	6
261	41228	St.Martin im Innkreis         	1146	919	20	899	241	180	429	45	1	3
262	41229	Schildorn                     	737	618	12	606	202	54	310	35	3	2
263	41230	Senftenbach                   	525	454	10	444	97	67	253	27	0	0
264	41231	Taiskirchen im Innkreis       	1753	1491	27	1464	317	151	888	94	8	6
265	41232	Tumeltsham                    	1034	896	20	876	168	130	490	79	5	4
266	41233	Utzenaich                     	1051	895	17	878	226	128	469	46	7	2
267	41234	Waldzell                      	1556	1309	23	1286	416	182	626	55	5	2
268	41235	Weilbach                      	465	407	7	400	77	56	254	12	0	1
269	41236	Wippenham                     	425	373	11	362	129	33	178	17	3	2
