	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	KPÖ	MATIN
132	40808	Grieskirchen                  	3565	2884	70	2814	1089	863	394	287	85	16	80
133	40809	Haag am Hausruck              	1563	1223	37	1186	427	388	166	123	30	1	51
134	40810	Heiligenberg                  	521	446	14	432	289	39	60	30	10	1	3
135	40811	Hofkirchen an der Trattnach   	1085	840	28	812	364	209	122	54	27	9	27
136	40812	Kallham                       	1997	1590	52	1538	640	490	217	101	49	6	35
137	40813	Kematen am Innbach            	983	777	18	759	278	221	143	53	22	13	29
138	40814	Meggenhofen                   	944	813	26	787	458	139	72	84	14	5	15
139	40815	Michaelnbach                  	997	793	17	776	450	128	86	52	32	4	24
140	40816	Natternbach                   	1808	1458	49	1409	656	403	171	75	37	21	46
141	40817	Neukirchen am Walde           	1237	1060	28	1032	549	215	143	62	30	10	23
142	40818	Neumarkt im Hausruckkreis     	1106	871	20	851	272	335	148	49	22	1	24
143	40819	Peuerbach                     	1708	1288	34	1254	559	310	171	135	24	15	40
144	40820	Pötting                       	413	373	8	365	232	74	25	18	3	3	10
145	40821	Pollham                       	688	546	17	529	266	94	66	47	22	5	29
146	40822	Pram                          	1352	1045	27	1018	396	268	183	100	30	9	32
147	40823	Rottenbach                    	791	656	22	634	257	173	114	48	14	6	22
148	40824	St.Agatha                     	1686	1402	35	1367	765	306	135	87	30	11	33
149	40825	St.Georgen bei Grieskirchen   	851	672	22	650	280	196	80	54	19	1	20
150	40826	St.Thomas                     	341	283	7	276	156	41	33	23	6	4	13
151	40827	Schlüßlberg                   	2279	1864	43	1821	526	818	219	148	52	8	50
152	40828	Steegen                       	831	620	27	593	304	157	55	38	12	1	26
153	40829	Taufkirchen an der Trattnach  	1569	1211	48	1163	498	308	207	72	30	13	35
154	40830	Tollet                        	651	556	10	546	238	171	53	61	7	1	15
155	40831	Waizenkirchen                 	2826	2297	47	2250	1124	573	218	215	57	13	50
156	40832	Wallern an der Trattnach      	2236	1812	21	1791	605	678	260	152	48	8	40
157	40833	Weibern                       	1176	938	28	910	448	231	107	81	9	7	27
158	40834	Wendling                      	602	496	12	484	250	81	102	32	8	5	6
159	40900	Bezirk Kirchdorf an der Krems        	41215	32872	750	32122	12472	11024	3906	2773	851	215	881
160	40901	Edlbach                       	495	405	6	399	201	113	38	25	10	5	7
161	40902	Grünburg                      	2787	2184	59	2125	741	822	295	134	71	12	50
162	40903	Hinterstoder                  	782	591	13	578	290	141	75	40	18	2	12
163	40904	Inzersdorf im Kremstal        	1375	1087	31	1056	459	289	133	106	29	10	30
164	40905	Kirchdorf an der Krems        	2955	2395	39	2356	686	921	266	346	67	11	59
165	40906	Klaus an der Pyhrnbahn        	839	689	15	674	167	368	68	31	15	8	17
166	40907	Kremsmünster                  	4583	3567	85	3482	1460	984	442	323	109	24	140
167	40908	Micheldorf in Oberösterreich  	4387	3501	74	3427	906	1518	459	340	86	26	92
168	40909	Molln                         	2695	2150	40	2110	728	877	228	168	47	11	51
169	40910	Nußbach                       	1717	1434	32	1402	729	382	130	87	25	13	36
170	40911	Oberschlierbach               	362	312	2	310	135	94	15	50	8	1	7
171	40912	Pettenbach                    	3499	2775	79	2696	1080	777	412	250	66	35	76
172	40913	Ried im Traunkreis            	1935	1550	31	1519	713	355	231	127	50	6	37
173	40914	Rosenau am Hengstpaß          	533	442	7	435	133	213	40	17	14	6	12
174	40915	Roßleithen                    	1426	1126	21	1105	432	451	95	83	18	4	22
175	40916	St.Pankraz                    	265	232	5	227	62	92	54	4	8	0	7
176	40917	Schlierbach                   	2029	1637	43	1594	658	429	207	203	45	13	39
177	40918	Spital am Pyhrn               	1707	1369	23	1346	485	579	141	72	26	7	36
178	40919	Steinbach am Ziehberg         	641	510	9	501	237	130	69	42	5	4	14
179	40920	Steinbach an der Steyr        	1530	1294	28	1266	587	393	151	67	39	4	25
180	40921	Vorderstoder                  	619	487	5	482	246	123	65	23	12	2	11
181	40922	Wartberg an der Krems         	2184	1710	68	1642	793	440	170	142	43	3	51
182	40923	Windischgarsten               	1870	1425	35	1390	544	533	122	93	40	8	50
