	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	KPÖ	MATIN
391	41625	Vorderweißenbach              	1553	1327	41	1286	789	243	90	96	25	13	30
392	41626	Walding                       	3006	2452	72	2380	845	959	178	265	56	13	64
393	41627	Zwettl an der Rodl            	1330	1094	27	1067	524	272	83	129	15	16	28
394	41700	Bezirk Vöcklabruck                   	95783	74763	1982	72781	26173	25356	9680	6813	1938	600	2221
395	41701	Ampflwang im Hausruckwald     	2761	2234	48	2186	447	1295	204	131	46	23	40
396	41702	Attersee                      	1205	935	17	918	387	244	102	124	22	5	34
397	41703	Attnang-Puchheim              	6213	4690	114	4576	980	2214	635	447	125	41	134
398	41704	Atzbach                       	876	717	21	696	364	133	92	50	17	10	30
399	41705	Aurach am Hongar              	1180	989	28	961	326	414	109	63	20	7	22
400	41706	Berg im Attergau              	718	578	10	568	374	67	73	16	17	4	17
401	41707	Desselbrunn                   	1196	997	31	966	377	342	115	80	26	7	19
402	41708	Fornach                       	680	554	16	538	315	94	72	26	9	4	18
403	41709	Frankenburg am Hausruck       	3787	3002	114	2888	876	1231	362	215	75	27	102
404	41710	Frankenmarkt                  	2602	2002	72	1930	728	593	328	135	51	30	65
405	41711	Gampern                       	1912	1519	65	1454	630	414	164	152	49	16	29
406	41712	Innerschwand                  	781	611	20	591	360	82	53	64	17	2	13
407	41713	Lenzing                       	3917	3007	78	2929	412	1725	399	182	78	24	109
408	41714	Manning                       	634	543	9	534	255	152	28	50	24	3	22
409	41715	Mondsee                       	2314	1560	29	1531	669	336	187	207	58	7	67
410	41716	Neukirchen an der Vöckla      	1899	1526	44	1482	594	418	212	144	47	16	51
411	41717	Niederthalheim                	764	630	25	605	310	114	89	55	17	5	15
412	41718	Nußdorf am Attersee           	821	596	6	590	294	94	106	47	21	5	23
413	41719	Oberhofen am Irrsee           	1052	829	19	810	386	198	125	64	8	7	22
414	41720	Oberndorf bei Schwanenstadt   	1075	838	21	817	281	302	108	75	26	3	22
415	41721	Oberwang                      	1170	971	33	938	662	102	117	30	8	3	16
416	41722	Ottnang am Hausruck           	2926	2301	56	2245	755	957	264	147	51	13	58
417	41723	Pfaffing                      	1027	856	25	831	321	268	121	63	12	6	40
418	41724	Pilsbach                      	458	412	6	406	202	130	27	34	7	1	5
419	41725	Pitzenberg                    	384	310	5	305	117	77	57	30	12	5	7
420	41726	Pöndorf                       	1718	1314	49	1265	550	393	172	65	48	7	30
421	41727	Puchkirchen am Trattberg      	713	614	12	602	257	165	54	86	9	5	26
422	41728	Pühret                        	449	356	8	348	154	79	73	29	5	2	6
423	41729	Redleiten                     	350	273	13	260	97	101	39	12	5	3	3
424	41730	Redlham                       	1042	842	20	822	294	297	104	83	18	4	22
425	41731	Regau                         	4405	3504	103	3401	1055	1249	488	345	99	42	123
426	41732	Rüstorf                       	1498	1163	30	1133	318	465	169	105	28	12	36
427	41733	Rutzenham                     	195	165	4	161	91	13	15	32	0	2	8
428	41734	St.Georgen im Attergau        	2807	2240	62	2178	848	508	517	172	50	10	73
429	41735	St.Lorenz                     	1539	1175	26	1149	628	226	121	114	32	2	26
430	41736	Schlatt                       	971	765	30	735	280	222	103	69	24	7	30
431	41737	Schörfling am Attersee        	2483	1884	29	1855	582	660	250	220	60	23	60
432	41738	Schwanenstadt                 	2976	2230	53	2177	633	818	329	240	68	17	72
433	41739	Seewalchen am Attersee        	3865	2955	83	2872	808	1036	490	346	84	21	87
434	41740	Steinbach am Attersee         	673	548	14	534	242	146	52	48	17	5	24
435	41741	Straß im Attergau             	1047	823	32	791	399	164	143	38	22	3	22
436	41742	Tiefgraben                    	2458	1871	39	1832	989	353	212	161	59	7	51
437	41743	Timelkam                      	4370	3485	97	3388	828	1575	424	333	101	35	92
438	41744	Ungenach                      	1030	848	26	822	450	160	110	63	17	1	21
439	41745	Unterach am Attersee          	1100	797	22	775	327	264	70	61	28	8	17
440	41746	Vöcklabruck                   	8925	6760	149	6611	2014	2462	759	938	174	47	217
441	41747	Vöcklamarkt                   	3450	2679	72	2607	1109	760	381	221	51	14	71
442	41748	Weißenkirchen im Attergau     	716	567	23	544	298	100	76	31	14	4	21
443	41749	Weyregg am Attersee           	1182	915	9	906	403	262	104	85	18	9	25
444	41750	Wolfsegg am Hausruck          	1515	1214	22	1192	346	519	138	105	28	20	36
445	41751	Zell am Moos                  	1060	832	26	806	444	150	77	90	15	7	23
446	41752	Zell am Pettenfirst           	894	737	17	720	307	213	61	90	21	9	19
447	41800	Bezirk Wels-Land                     	48282	38805	742	38063	13113	13465	5731	3359	1109	244	1042
448	41801	Aichkirchen                   	395	324	11	313	182	37	52	15	14	2	11
449	41802	Bachmanning                   	462	365	11	354	141	107	44	32	14	1	15
450	41803	Bad Wimsbach-Neydharting      	1810	1496	37	1459	605	482	174	102	41	10	45
451	41804	Buchkirchen                   	2785	2273	36	2237	680	934	285	210	45	14	69
452	41805	Eberstalzell                  	1691	1362	33	1329	745	212	229	81	31	5	26
453	41806	Edt bei Lambach               	1552	1243	13	1230	440	413	203	93	35	5	41
454	41807	Fischlham                     	1010	850	18	832	421	221	101	45	24	2	18
455	41808	Gunskirchen                   	4057	3405	60	3345	1122	1188	569	270	94	14	88
456	41809	Holzhausen                    	508	419	9	410	140	156	57	24	22	4	7
457	41810	Krenglbach                    	2180	1779	25	1754	540	696	270	161	30	9	48
458	41811	Lambach                       	2349	1695	38	1657	522	594	275	152	49	20	45
459	41812	Marchtrenk                    	8472	6691	113	6578	1369	3211	963	519	246	52	218
460	41813	Neukirchen bei Lambach        	648	538	10	528	241	115	86	45	27	5	9
461	41814	Offenhausen                   	1109	913	22	891	377	221	169	67	31	5	21
462	41815	Pennewang                     	664	554	7	547	299	91	56	60	18	1	22
463	41816	Pichl bei Wels                	1977	1641	29	1612	659	484	228	147	44	10	40
464	41817	Sattledt                      	1660	1370	35	1335	584	370	211	100	29	8	33
465	41818	Schleißheim                   	802	657	24	633	244	183	92	67	24	4	19
466	41819	Sipbachzell                   	1304	1066	13	1053	484	275	157	82	23	1	31
467	41820	Stadl-Paura                   	3540	2608	67	2541	506	1215	400	242	82	28	68
468	41821	Steinerkirchen an der Traun   	1712	1408	29	1379	758	253	187	118	27	7	29
469	41822	Steinhaus                     	1438	1229	19	1210	418	323	331	95	18	2	23
470	41823	Thalheim bei Wels             	3991	3134	52	3082	1063	1005	379	464	93	19	59
471	41824	Weißkirchen an der Traun      	2166	1785	31	1754	573	679	213	168	48	16	57
