GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	KPÖ	LIF
G70531	Wörgl	7564	6021	117	5904	2151	2121	755	720	54	103
G70601	Faggen	197	174	3	171	120	26	11	14	0	0
G70602	Fendels	161	146	3	143	108	13	11	7	3	1
G70603	Fiss	596	519	5	514	428	39	16	26	3	2
G70604	Fließ	2029	1715	41	1674	945	514	104	91	7	13
G70605	Flirsch	647	527	11	516	247	178	36	44	1	10
G70606	Galtür	533	435	4	431	382	16	21	12	0	0
G70607	Grins	945	792	9	783	427	255	29	57	2	13
G70608	Ischgl	1034	844	7	837	681	71	40	33	4	8
G70609	Kappl	1872	1630	17	1613	1318	158	77	42	8	10
G70610	Kaunerberg	258	197	2	195	151	26	8	10	0	0
G70611	Kaunertal	412	374	5	369	281	39	12	36	0	1
G70612	Kauns	322	255	10	245	165	45	10	20	3	2
G70613	Ladis	372	271	6	265	189	40	16	16	1	3
G70614	Landeck	5231	4303	70	4233	1756	1721	259	421	35	41
G70615	Nauders	1064	815	18	797	529	144	66	45	6	7
G70616	Pettneu am Arlberg	1027	835	17	818	398	267	52	84	2	15
G70617	Pfunds	1788	1464	38	1426	837	353	100	114	4	18
G70618	Pians	568	475	2	473	259	145	31	31	0	7
G70619	Prutz	1144	935	19	916	423	285	73	122	5	8
G70620	Ried im Oberinntal	824	652	9	643	387	129	58	60	5	4
G70622	Schönwies	1157	1002	17	985	358	456	67	84	12	8
G70623	See	736	604	4	600	453	82	35	23	1	6
G70624	Serfaus	781	602	11	591	463	55	22	47	2	2
G70625	Spiss	91	76	1	75	55	9	2	2	0	7
G70621	St. Anton am Arlberg	1752	1378	23	1355	913	185	93	132	7	25
G70626	Stanz bei Landeck	439	344	9	335	177	110	15	23	5	5
G70627	Strengen	913	782	12	770	372	291	44	51	3	9
G70628	Tobadill	380	340	5	335	215	76	14	27	2	1
G70629	Tösens	470	373	3	370	221	79	48	17	1	4
G70630	Zams	2470	2125	25	2100	1134	626	104	211	4	21
G70701	Abfaltersbach	477	397	7	390	328	28	22	10	0	2
G70702	Ainet	731	587	10	577	396	58	79	40	2	2
G70703	Amlach	239	170	2	168	94	40	25	8	1	0
G70704	Anras	964	817	10	807	593	103	59	42	4	6
G70705	Assling	1530	1261	22	1239	889	148	107	82	3	10
G70706	Außervillgraten	698	582	7	575	471	37	45	17	2	3
G70707	Dölsach	1592	1245	22	1223	670	280	186	72	1	14
G70708	Gaimberg	601	441	7	434	301	54	34	42	2	1
G70735	Heinfels	693	562	7	555	433	50	45	20	5	2
G70709	Hopfgarten in Defereggen	609	488	9	479	407	24	30	14	0	4
G70710	Innervillgraten	706	583	2	581	523	16	26	10	3	3
G70711	Iselsberg-Stronach	451	314	6	308	196	42	46	22	0	2
G70712	Kals am Großglockner	972	636	17	619	462	56	68	24	3	6
G70713	Kartitsch	685	552	11	541	439	31	31	30	5	5
G70714	Lavant	199	155	3	152	104	19	14	14	1	0
G70715	Leisach	671	532	11	521	294	120	50	52	1	4
G70716	Lienz	9390	7227	143	7084	3515	1741	869	862	17	80
G70717	Matrei in Osttirol	3532	2803	51	2752	1895	355	336	146	6	14
G70718	Nikolsdorf	669	527	7	520	325	88	70	31	0	6
G70719	Nußdorf-Debant	2265	1830	34	1796	874	507	235	158	8	14
G70720	Oberlienz	1069	833	12	821	576	100	96	41	0	8
G70721	Obertilliach	568	450	5	445	382	28	21	9	2	3
G70723	Prägraten am Großvenediger	923	714	11	703	556	46	80	14	1	6
G70727	Schlaiten	367	299	12	287	209	32	27	12	4	3
G70728	Sillian	1537	1205	17	1188	873	124	123	61	3	4
G70724	St. Jakob in Defereggen	753	559	9	550	416	27	63	34	5	5
G70725	St. Johann im Walde	223	210	3	207	158	22	21	6	0	0
G70726	St. Veit in Defereggen	590	455	6	449	373	27	26	18	1	4
G70729	Strassen	627	498	6	492	393	48	30	18	1	2
G70731	Thurn	466	356	5	351	250	25	45	28	1	2
G70732	Tristach	985	804	22	782	495	121	77	76	4	9
G70733	Untertilliach	221	168	1	167	110	9	35	8	4	1
