GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	LIF	KPÖ	RETTÖ	DC	FRITZ	LINKE
G70508	Ebbs	3742	2582	36	2546	821	329	675	176	303	31	7	16	25	163	0
G70509	Ellmau	1808	1129	19	1110	413	126	198	63	184	11	3	6	9	97	0
G70510	Erl	969	717	6	711	322	89	97	55	68	5	1	4	6	64	0
G70511	Kirchbichl	4036	2820	43	2777	618	837	475	198	412	27	9	14	8	178	1
G70512	Kramsach	3535	2398	43	2355	631	451	445	254	238	57	18	23	18	219	1
G70513	Kufstein	11680	7646	91	7555	1580	1618	1891	831	759	143	38	48	38	590	19
G70514	Kundl	2963	1998	15	1983	543	482	356	156	229	30	7	10	28	139	3
G70515	Langkampfen	2853	2042	32	2010	487	455	418	111	289	20	8	16	17	187	2
G70516	Mariastein	222	165	5	160	47	13	50	20	9	0	0	3	3	15	0
G70517	Münster	2323	1552	20	1532	399	347	304	93	186	27	8	9	4	155	0
G70518	Niederndorf	1894	1302	20	1282	433	108	389	85	140	22	7	4	17	76	1
G70519	Niederndorferberg	444	251	1	250	136	11	54	5	20	2	1	2	4	15	0
G70520	Radfeld	1558	1042	15	1027	201	235	220	84	148	12	3	8	0	114	2
G70521	Rattenberg	309	201	1	200	60	34	41	20	21	2	3	1	2	16	0
G70522	Reith im Alpbachtal	2002	1405	22	1383	567	185	231	95	135	23	5	12	7	122	1
G70523	Rettenschöss	325	219	2	217	148	6	23	12	18	0	1	0	1	8	0
G70524	Scheffau am Wilden Kaiser	932	623	5	618	292	52	85	32	85	2	3	3	3	61	0
G70525	Schwoich	1767	1284	36	1248	457	206	230	75	144	17	0	7	16	95	1
G70526	Söll	2563	1802	25	1777	675	254	284	116	241	18	4	21	22	142	0
G70527	Thiersee	2060	1458	30	1428	658	188	234	72	131	11	2	2	23	107	0
G70529	Walchsee	1261	836	14	822	330	51	200	37	101	12	3	8	12	68	0
G70530	Wildschönau	3085	2050	26	2024	1011	136	241	109	300	27	3	8	21	168	0
G70531	Wörgl	8605	5600	81	5519	964	1506	1218	545	624	97	32	42	18	421	52
G70601	Faggen	252	158	3	155	83	20	25	5	6	0	0	0	3	13	0
G70602	Fendels	191	131	1	130	88	9	17	5	5	0	2	0	1	3	0
G70603	Fiss	679	438	3	435	306	11	37	22	25	2	2	3	5	22	0
G70604	Fließ	2282	1552	15	1537	589	373	239	91	116	29	0	11	18	69	2
G70605	Flirsch	758	481	5	476	147	121	81	26	44	4	1	1	2	49	0
G70606	Galtür	602	388	8	380	231	13	50	15	38	2	0	4	11	16	0
G70607	Grins	1046	728	21	707	246	127	132	53	80	10	2	2	7	48	0
G70608	Ischgl	1154	681	11	670	367	49	79	17	91	7	5	4	12	39	0
G70609	Kappl	2038	1401	14	1387	713	112	252	45	136	3	5	3	21	97	0
G70610	Kaunerberg	281	161	2	159	112	11	8	5	9	0	0	0	1	13	0
G70611	Kaunertal	467	301	15	286	193	28	11	21	15	1	1	2	1	13	0
G70612	Kauns	368	222	3	219	112	19	36	22	11	1	2	0	2	13	1
