GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	NEOS	FLÖ	GILT	KPÖ	PILZ	WEIßE
G70732	Tristach	1121	790	6	784	352	141	178	21	51	2	12	1	24	2
G70733	Untertilliach	183	112	2	110	68	12	20	0	6	1	1	1	1	0
G70734	Virgen	1740	1100	19	1081	440	129	443	11	35	2	4	4	11	2
G70801	Bach	479	314	5	309	139	35	98	3	16	0	3	3	12	0
G70802	Berwang	408	284	0	284	150	39	68	6	16	0	0	0	5	0
G70803	Biberwier	436	314	2	312	157	51	88	4	7	0	1	0	3	1
G70804	Bichlbach	545	382	2	380	182	81	69	7	22	4	3	2	8	2
G70805	Breitenwang	1087	613	9	604	206	151	123	50	38	1	3	3	28	1
G70806	Ehenbichl	636	386	2	384	158	80	96	13	17	0	1	1	18	0
G70807	Ehrwald	1752	1120	15	1105	487	173	312	33	55	1	10	7	24	3
G70808	Elbigenalp	663	467	5	462	234	47	132	9	26	0	2	2	9	1
G70809	Elmen	291	208	3	205	117	28	38	9	8	0	0	1	2	2
G70810	Forchach	193	138	4	134	55	19	52	1	5	0	1	0	1	0
G70811	Grän	376	253	5	248	165	11	43	2	22	0	3	0	2	0
G70812	Gramais	33	24	0	24	17	1	3	2	0	1	0	0	0	0
G70813	Häselgehr	530	341	7	334	165	33	96	6	19	0	2	2	11	0
G70814	Heiterwang	399	245	1	244	119	31	69	4	9	1	0	2	7	2
G70815	Hinterhornbach	70	54	0	54	45	0	6	1	2	0	0	0	0	0
G70816	Höfen	929	595	7	588	262	102	158	18	35	1	2	1	9	0
G70817	Holzgau	306	212	1	211	110	23	60	5	10	0	1	0	2	0
G70818	Jungholz	100	65	0	65	52	3	6	4	0	0	0	0	0	0
G70819	Kaisers	58	39	1	38	16	5	6	1	6	0	0	0	3	1
G70820	Lechaschau	1465	894	9	885	325	209	245	39	33	0	5	6	22	1
G70821	Lermoos	779	484	4	480	252	39	113	13	41	1	4	4	13	0
G70822	Musau	283	175	2	173	92	44	24	0	8	1	0	1	3	0
G70823	Namlos	65	43	0	43	27	2	13	0	1	0	0	0	0	0
G70824	Nesselwängle	324	206	2	204	114	20	42	8	14	1	0	2	1	2
G70825	Pfafflar	86	44	0	44	26	7	5	3	3	0	0	0	0	0
G70826	Pflach	922	555	12	543	217	121	144	18	27	0	1	3	12	0
G70827	Pinswang	287	190	5	185	86	30	38	13	11	0	0	0	5	2
G70828	Reutte	4243	2310	22	2288	784	646	531	94	126	5	10	14	75	3
G70829	Schattwald	302	173	3	170	101	15	25	8	14	0	1	0	6	0
G70830	Stanzach	348	210	2	208	87	31	56	8	16	0	0	0	10	0
G70831	Steeg	536	351	6	345	191	20	94	11	20	0	0	0	4	5
G70832	Tannheim	703	430	5	425	241	38	101	14	19	0	3	0	8	1
G70833	Vils	1078	657	6	651	330	112	138	17	29	1	0	5	18	1
G70834	Vorderhornbach	206	147	0	147	86	19	28	7	4	0	0	0	3	0
G70835	Wängle	690	473	8	465	200	86	121	12	27	1	4	2	12	0
G70836	Weißenbach am Lech	959	599	7	592	207	131	198	14	15	0	3	5	16	3
G70837	Zöblen	172	97	2	95	62	3	19	4	3	0	0	0	4	0
G70901	Achenkirch	1577	949	10	939	457	115	278	6	48	2	13	1	18	1
G70902	Aschau im Zillertal	1353	822	7	815	400	108	247	12	28	0	6	0	14	0
G70903	Brandberg	275	190	2	188	106	15	56	4	3	0	1	0	3	0
G70904	Bruck am Ziller	838	606	3	603	304	63	198	5	17	2	2	1	11	0
G70905	Buch in Tirol	1990	1431	20	1411	467	278	493	43	64	0	17	8	40	1
G70907	Eben am Achensee	2078	1267	10	1257	545	191	354	45	71	1	5	1	43	1
G70908	Finkenberg	1111	741	9	732	379	105	174	14	32	2	8	0	17	1
G70909	Fügen	2787	1737	11	1726	715	271	552	34	78	4	7	3	58	4
G70910	Fügenberg	1031	634	1	633	330	69	196	13	6	3	3	1	12	0
G70911	Gallzein	485	337	3	334	141	41	125	5	11	0	1	0	10	0
G70912	Gerlos	602	406	0	406	240	50	88	4	12	2	4	0	5	1
G70913	Gerlosberg	370	235	3	232	126	17	77	0	9	0	0	0	2	1
G70914	Hainzenberg	536	370	2	368	190	52	102	5	10	2	0	2	5	0
G70915	Hart im Zillertal	1182	749	7	742	365	92	221	10	26	5	3	1	18	1
G70916	Hippach	1094	662	8	654	387	50	175	4	14	1	2	4	15	2
G70917	Jenbach	4913	3024	28	2996	783	826	968	108	152	4	21	27	99	8
G70918	Kaltenbach	908	580	8	572	222	123	187	16	11	0	2	2	6	3
G70920	Mayrhofen	2559	1537	10	1527	695	245	374	48	98	4	11	4	44	4
G70921	Pill	917	652	8	644	259	79	245	11	20	1	9	0	19	1
G70922	Ramsau im Zillertal	1196	747	9	738	339	104	221	18	29	2	1	2	22	0
G70923	Ried im Zillertal	933	584	5	579	303	84	135	17	25	0	3	0	12	0
G70924	Rohrberg	416	302	1	301	145	46	96	3	3	1	1	0	6	0
G70925	Schlitters	1056	665	7	658	288	91	218	18	24	1	3	2	12	1
G70926	Schwaz	9941	6404	83	6321	1968	1493	1837	259	392	9	48	46	244	25
G70927	Schwendau	1217	801	11	790	402	72	254	8	21	5	5	3	18	2
G70928	Stans	1590	1176	14	1162	450	241	342	32	52	0	4	4	33	4
G70929	Steinberg am Rofan	209	148	0	148	89	14	37	1	2	0	1	1	3	0
G70930	Strass im Zillertal	638	436	6	430	199	70	102	9	21	3	2	11	13	0
G70931	Stumm	1435	884	13	871	395	170	228	17	29	2	2	0	27	1
G70932	Stummerberg	659	409	1	408	233	39	123	1	7	2	0	0	3	0
G70933	Terfens	1629	1174	9	1165	468	201	327	42	62	4	7	9	44	1
G70934	Tux	1417	1018	19	999	561	120	228	16	53	1	5	4	11	0
G70935	Uderns	1323	912	10	902	341	175	311	10	35	1	6	1	19	3
G70936	Vomp	3748	2540	19	2521	895	551	732	90	138	7	13	13	78	4
G70937	Weer	1202	825	4	821	300	156	268	20	31	1	7	8	28	2
G70938	Weerberg	1949	1329	9	1320	677	134	406	21	50	1	8	1	22	0
G70939	Wiesing	1630	1135	10	1125	357	261	359	31	45	2	4	8	57	1
G70940	Zell am Ziller	1346	735	5	730	328	125	192	13	32	0	6	2	32	0
G70941	Zellberg	518	349	7	342	162	44	107	3	12	2	1	4	7	0
G7007A	Wahlkarten Inland Innsbruck	0	612	1	611	153	179	46	73	82	3	6	10	56	3
G7007B	Wahlkarten Inland Innsbruck-Land	0	447	6	441	111	109	59	41	56	0	2	11	49	3
G7007C	Wahlkarten Inland Unterland	0	301	2	299	108	59	47	25	30	0	3	3	22	2
G7007D	Wahlkarten Inland Oberland	0	187	1	186	58	42	35	16	28	1	0	1	5	0
G7007E	Wahlkarten Inland Osttirol	0	175	1	174	45	45	21	11	21	0	5	4	22	0
G70099	Wahlkarten Inland unzuordenbar	0	14	14	0	0	0	0	0	0	0	0	0	0	0
G70199	Briefwahlkarten Innsbruck-Stadt	0	11724	127	11597	3330	3218	1227	1454	1136	26	113	186	886	21
G70299	Briefwahlkarten Imst	0	3671	14	3657	1404	692	797	247	262	10	47	24	163	11
G70399	Briefwahlkarten Innsbruck-Land	0	14285	51	14234	5088	3208	2634	1153	1088	25	140	110	749	39
G70499	Briefwahlkarten Kitzbühel	0	5124	25	5099	2303	874	921	346	357	4	46	28	208	12
G70599	Briefwahlkarten Kufstein	0	6280	21	6259	2505	1260	1189	477	413	17	73	40	268	17
G70699	Briefwahlkarten Landeck	0	2864	15	2849	1291	536	465	145	244	3	30	18	105	12
G70799	Briefwahlkarten Lienz	0	3466	33	3433	1420	689	590	249	233	7	34	22	180	9
G70899	Briefwahlkarten Reutte	0	2649	14	2635	1171	454	491	194	173	1	38	18	88	7
G70999	Briefwahlkarten Schwaz	0	5790	30	5760	2348	1084	1304	296	345	14	64	42	243	20
