GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	NEOS	JETZT	GRÜNE	GILT	KPÖ	WANDL
G70101	Innsbruck	86625	46195	370	45825	13638	8372	6976	4633	1373	9954	108	545	226
G70201	Arzl im Pitztal	2364	1459	19	1440	753	171	226	120	34	127	2	2	5
G70202	Haiming	3541	2046	7	2039	878	324	357	177	35	258	3	4	3
G70203	Imst	7483	4117	30	4087	1730	647	690	363	68	547	6	20	16
G70204	Imsterberg	627	395	7	388	205	53	77	23	3	25	0	1	1
G70205	Jerzens	704	454	4	450	304	25	82	15	3	18	1	2	0
G70206	Karres	507	335	5	330	166	38	88	18	3	15	2	0	0
G70207	Karrösten	564	347	4	343	162	62	53	28	15	23	0	0	0
G70208	Längenfeld	3444	2119	20	2099	1397	109	258	150	25	148	3	2	7
G70209	Mieming	2819	1699	20	1679	813	147	244	201	29	219	6	7	13
G70210	Mils bei Imst	467	322	0	322	133	37	49	64	5	32	1	1	0
G70211	Mötz	931	480	3	477	222	58	77	40	10	65	2	1	2
G70212	Nassereith	1663	999	7	992	558	96	176	63	13	70	7	8	1
G70213	Obsteig	964	557	7	550	267	47	84	41	5	97	4	1	4
G70214	Oetz	1764	1053	11	1042	584	79	136	103	21	111	1	3	4
G70215	Rietz	1816	1080	15	1065	426	156	245	83	19	112	11	6	7
G70216	Roppen	1343	803	11	792	397	141	105	54	5	78	3	5	4
G70218	Sautens	1128	617	1	616	334	54	100	56	12	49	2	6	3
G70219	Silz	1966	1151	10	1141	468	182	184	98	34	156	5	10	4
G70220	Sölden	2186	1199	8	1191	827	30	165	88	13	59	0	2	7
G70217	St. Leonhard im Pitztal	1078	630	4	626	480	13	89	17	1	24	0	0	2
G70221	Stams	1122	630	3	627	291	83	102	52	12	83	1	2	1
G70222	Tarrenz	2100	1200	10	1190	568	110	289	83	21	107	3	2	7
G70223	Umhausen	2414	1431	12	1419	844	87	266	121	18	77	4	1	1
G70224	Wenns	1609	874	6	868	551	59	140	48	12	53	1	2	2
G70301	Absam	5720	3557	26	3531	1412	487	494	406	51	642	2	28	9
G70302	Aldrans	1976	1196	6	1190	544	89	135	150	19	237	1	10	5
G70303	Ampass	1308	796	5	791	337	77	121	88	14	147	2	3	2
